Artikelcode;Onderdeel;Positie;Diameter 1;Diameter 2;Bouwgroep;Enkel / Dubbel;Materiaal;Materiaalcode;Serie;Variant / specificatie;Status
6063 PP;Beugel;2;63;;6;Enkel;Polypropyleen;PP;Zwaar;;OK
6063,5 AL;Beugel;2;63,5;;6;Enkel;Aluminium;AL;Zwaar;;OK
6063,5 PA;Beugel;2;63,5;;6;Enkel;Polyamide;PA;Zwaar;;OK
6063,5 PP;Beugel;2;63,5;;6;Enkel;Polypropyleen;PP;Zwaar;;OK
6064 PPH;Beugel;2;64;;6;Enkel;Polypropyleen;PPH;Zwaar;;OK
6065 PP;Beugel;2;65;;6;Enkel;Polypropyleen;PP;Zwaar;;OK
6065 PPH;Beugel;2;65;;6;Enkel;Polypropyleen;PPH;Zwaar;;OK
6066 PP;Beugel;2;66;;6;Enkel;Polypropyleen;PP;Zwaar;;OK
6067 PP;Beugel;2;67;;6;Enkel;Polypropyleen;PP;Zwaar;;OK
6067 PPH;Beugel;2;67;;6;Enkel;Polypropyleen;PPH;Zwaar;;OK
6068 PPH;Beugel;2;68;;6;Enkel;Polypropyleen;PPH;Zwaar;;OK
6070 PA;Beugel;2;70;;6;Enkel;Polyamide;PA;Zwaar;;OK
6070 PP;Beugel;2;70;;6;Enkel;Polypropyleen;PP;Zwaar;;OK
6070 PPH;Beugel;2;70;;6;Enkel;Polypropyleen;PPH;Zwaar;;OK
620 PAR;Beugel;2;20;;6;Enkel;PAR;PAR;Licht (standaard);;OK
620 PPR;Beugel;2;20;;6;Enkel;PPR;PPR;Licht (standaard);;OK
621,3 PPR;Beugel;2;21,3;;6;Enkel;PPR;PPR;Licht (standaard);;OK
622 PAR;Beugel;2;22;;6;Enkel;PAR;PAR;Licht (standaard);;OK
622 PPR;Beugel;2;22;;6;Enkel;PPR;PPR;Licht (standaard);;OK
625 PPR;Beugel;2;25;;6;Enkel;PPR;PPR;Licht (standaard);;OK
628 PPR;Beugel;2;28;;6;Enkel;PPR;PPR;Licht (standaard);;OK
630 PPR;Beugel;2;30;;6;Enkel;PPR;PPR;Licht (standaard);;OK
632 PPR;Beugel;2;32;;6;Enkel;PPR;PPR;Licht (standaard);;OK
643 PP;Beugel;2;43;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
644,5 PA;Beugel;2;44,5;;6;Enkel;Polyamide;PA;Licht (standaard);;OK
644,5 PAH;Beugel;2;44,5;;6;Enkel;Polyamide;PAH;Licht (standaard);;OK
644,5 PP;Beugel;2;44,5;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
644,5 PPH;Beugel;2;44,5;;6;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
644.5 SA87;Beugel;2;44.5;;6;Enkel;SA / elastomeer;SA87;Licht (standaard);;OK
645 PA;Beugel;2;45;;6;Enkel;Polyamide;PA;Licht (standaard);;OK
645 PP;Beugel;2;45;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
647 PP;Beugel;2;47;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
648,3 AL;Beugel;2;48,3;;6;Enkel;Aluminium;AL;Licht (standaard);;OK
648,3 PA;Beugel;2;48,3;;6;Enkel;Polyamide;PA;Licht (standaard);;OK
648,3 PP;Beugel;2;48,3;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
648,3 PPH;Beugel;2;48,3;;6;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
648,3 SA;Beugel;2;48,3;;6;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
650 PA;Beugel;2;50;;6;Enkel;Polyamide;PA;Licht (standaard);;OK
650 PP;Beugel;2;50;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
650,8 PA;Beugel;2;50,8;;6;Enkel;Polyamide;PA;Licht (standaard);;OK
650,8 PAH;Beugel;2;50,8;;6;Enkel;Polyamide;PAH;Licht (standaard);;OK
650,8 PP;Beugel;2;50,8;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
650,8 PPH;Beugel;2;50,8;;6;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
650,8 SA;Beugel;2;50,8;;6;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
652 PP;Beugel;2;52;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
654 PA;Beugel;2;54;;6;Enkel;Polyamide;PA;Licht (standaard);;OK
654 PP;Beugel;2;54;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
654 PPH;Beugel;2;54;;6;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
654 SA;Beugel;2;54;;6;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
655 PP;Beugel;2;55;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
656 PP;Beugel;2;56;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
657 PP;Beugel;2;57;;6;Enkel;Polypropyleen;PP;Licht (standaard);;OK
657 SA;Beugel;2;57;;6;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
7 S PAR;Beugel;2;;;7;Enkel;Controle;S;Licht (standaard);PAR;Controle
7 S PPR;Beugel;2;;;7;Enkel;Controle;S;Licht (standaard);PPR;Controle
7048,3 PP;Beugel;2;48,3;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7057 PPR;Beugel;2;57;;7;Enkel;PPR;PPR;Zwaar;;OK
7060 PP;Beugel;2;60;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7060 PPR;Beugel;2;60;;7;Enkel;PPR;PPR;Zwaar;;OK
7060,3 PA;Beugel;2;60,3;;7;Enkel;Polyamide;PA;Zwaar;;OK
7060,3 PP;Beugel;2;60,3;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7060,3 PPH;Beugel;2;60,3;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
7063,5 PPR;Beugel;2;63,5;;7;Enkel;PPR;PPR;Zwaar;;OK
7065 PP;Beugel;2;65;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7065 PPR;Beugel;2;65;;7;Enkel;PPR;PPR;Zwaar;;OK
7070 AL;Beugel;2;70;;7;Enkel;Aluminium;AL;Zwaar;;OK
7070 PA;Beugel;2;70;;7;Enkel;Polyamide;PA;Zwaar;;OK
7070 PP;Beugel;2;70;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7070 PPH;Beugel;2;70;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
7070 PPR;Beugel;2;70;;7;Enkel;PPR;PPR;Zwaar;;OK
7072 PAR;Beugel;2;72;;7;Enkel;PAR;PAR;Zwaar;;OK
7072 PP;Beugel;2;72;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7072 PPH;Beugel;2;72;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
7072 PPR;Beugel;2;72;;7;Enkel;PPR;PPR;Zwaar;;OK
7073 AL;Beugel;2;73;;7;Enkel;Aluminium;AL;Zwaar;;OK
7073 PA;Beugel;2;73;;7;Enkel;Polyamide;PA;Zwaar;;OK
7073 PP;Beugel;2;73;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7075 PA;Beugel;2;75;;7;Enkel;Polyamide;PA;Zwaar;;OK
7075 PP;Beugel;2;75;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7076 PPR;Beugel;2;76;;7;Enkel;PPR;PPR;Zwaar;;OK
7076,1 AL;Beugel;2;76,1;;7;Enkel;Aluminium;AL;Zwaar;;OK
7076,1 PA;Beugel;2;76,1;;7;Enkel;Polyamide;PA;Zwaar;;OK
7076,1 PP;Beugel;2;76,1;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7076,1 PPH;Beugel;2;76,1;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
7080 PA;Beugel;2;80;;7;Enkel;Polyamide;PA;Zwaar;;OK
7080 PP;Beugel;2;80;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7080 PPH;Beugel;2;80;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
7082,5 PA;Beugel;2;82,5;;7;Enkel;Polyamide;PA;Zwaar;;OK
7082,5 PP;Beugel;2;82,5;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7085 PP;Beugel;2;85;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7088,9 AL;Beugel;2;88,9;;7;Enkel;Aluminium;AL;Zwaar;;OK
7088,9 PA;Beugel;2;88,9;;7;Enkel;Polyamide;PA;Zwaar;;OK
7088,9 PP;Beugel;2;88,9;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7088,9 PPH;Beugel;2;88,9;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
7090 PP;Beugel;2;90;;7;Enkel;Polypropyleen;PP;Zwaar;;OK
7090 PPH;Beugel;2;90;;7;Enkel;Polypropyleen;PPH;Zwaar;;OK
757,2 PA;Beugel;2;57,2;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
757,2 PP;Beugel;2;57,2;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
757,2 PPH;Beugel;2;57,2;;7;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
758 PP;Beugel;2;58;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
760,3 PA;Beugel;2;60,3;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
760,3 PAH;Beugel;2;60,3;;7;Enkel;Polyamide;PAH;Licht (standaard);;OK
760,3 PP;Beugel;2;60,3;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
760,3 PPH;Beugel;2;60,3;;7;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
760,3 SA;Beugel;2;60,3;;7;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
760,3 SAH;Beugel;2;60,3;;7;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
763,5 PA;Beugel;2;63,5;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
763,5 PP;Beugel;2;63,5;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
763,5 PPH;Beugel;2;63,5;;7;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
766 PP;Beugel;2;66;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
768 PP;Beugel;2;68;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
770 PA;Beugel;2;70;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
770 PP;Beugel;2;70;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
770 PPH;Beugel;2;70;;7;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
773 PA;Beugel;2;73;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
773 PP;Beugel;2;73;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
775 PA;Beugel;2;75;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
776,1 PA;Beugel;2;76,1;;7;Enkel;Polyamide;PA;Licht (standaard);;OK
776,1 PP;Beugel;2;76,1;;7;Enkel;Polypropyleen;PP;Licht (standaard);;OK
776,1 PP BK;Beugel;2;76,1;;7;Enkel;Polypropyleen;PP;Licht (standaard);BK;OK
776,1 SA;Beugel;2;76,1;;7;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
8080 PPR;Beugel;2;80;;8;Enkel;PPR;PPR;Zwaar;;OK
8085 PPR;Beugel;2;85;;8;Enkel;PPR;PPR;Zwaar;;OK
8088,9 AL;Beugel;2;88,9;;8;Enkel;Aluminium;AL;Zwaar;;OK
8088,9 PA;Beugel;2;88,9;;8;Enkel;Polyamide;PA;Zwaar;;OK
8088,9 PAR;Beugel;2;88,9;;8;Enkel;PAR;PAR;Zwaar;;OK
8088,9 PP;Beugel;2;88,9;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8088,9 PPR;Beugel;2;88,9;;8;Enkel;PPR;PPR;Zwaar;;OK
8095 PP;Beugel;2;95;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8097 PP;Beugel;2;97;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8100 PP;Beugel;2;100;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8101,6 PP;Beugel;2;101,6;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8102 AL;Beugel;2;102;;8;Enkel;Aluminium;AL;Zwaar;;OK
8102 PP;Beugel;2;102;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8102 PPH;Beugel;2;102;;8;Enkel;Polypropyleen;PPH;Zwaar;;OK
8102 PPR;Beugel;2;102;;8;Enkel;PPR;PPR;Zwaar;;OK
8105 PP;Beugel;2;105;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8108 PP;Beugel;2;108;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8110 PP;Beugel;2;110;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8114 AL;Beugel;2;114;;8;Enkel;Aluminium;AL;Zwaar;;OK
8114 PA;Beugel;2;114;;8;Enkel;Polyamide;PA;Zwaar;;OK
8114 PP;Beugel;2;114;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8114,3 AL;Beugel;2;114,3;;8;Enkel;Aluminium;AL;Zwaar;;OK
8114,3 PA;Beugel;2;114,3;;8;Enkel;Polyamide;PA;Zwaar;;OK
8114,3 PPH;Beugel;2;114,3;;8;Enkel;Polypropyleen;PPH;Zwaar;;OK
8115 PP;Beugel;2;115;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8115 PPH;Beugel;2;115;;8;Enkel;Polypropyleen;PPH;Zwaar;;OK
8115,5 PP;Beugel;2;115,5;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8127 PP;Beugel;2;127;;8;Enkel;Polypropyleen;PP;Zwaar;;OK
8130 SA;Beugel;2;130;;8;Enkel;SA / elastomeer;SA;Zwaar;;OK
880 PP;Beugel;2;80;;8;Enkel;Polypropyleen;PP;Licht (standaard);;OK
883 PP;Beugel;2;83;;8;Enkel;Polypropyleen;PP;Licht (standaard);;OK
888,9 AL HV MECH;Beugel;2;88,9;;8;Enkel;Aluminium;AL;Licht (standaard);HV MECH;OK
888,9 PA;Beugel;2;88,9;;8;Enkel;Polyamide;PA;Licht (standaard);;OK
888,9 PAH;Beugel;2;88,9;;8;Enkel;Polyamide;PAH;Licht (standaard);;OK
888,9 PP;Beugel;2;88,9;;8;Enkel;Polypropyleen;PP;Licht (standaard);;OK
888,9 PPH;Beugel;2;88,9;;8;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
9114 PP;Beugel;2;114;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9130 PP;Beugel;2;130;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9133 PP;Beugel;2;133;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9139,7 PP;Beugel;2;139,7;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9140 AL;Beugel;2;140;;9;Enkel;Aluminium;AL;Zwaar;;OK
9140 PA;Beugel;2;140;;9;Enkel;Polyamide;PA;Zwaar;;OK
9140 PP;Beugel;2;140;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9140 SA;Beugel;2;140;;9;Enkel;SA / elastomeer;SA;Zwaar;;OK
9141,3 PP;Beugel;2;141,3;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9150 PP;Beugel;2;150;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9152 PP;Beugel;2;152;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9159 PP;Beugel;2;159;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9165 PP;Beugel;2;165;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
9168 PA;Beugel;2;168;;9;Enkel;Polyamide;PA;Zwaar;;OK
9168 PP;Beugel;2;168;;9;Enkel;Polypropyleen;PP;Zwaar;;OK
AF 1/1A/1 D M W3;Stapelbout;5;;;1/1A/1;;W3;W3;Licht (standaard);;OK
AF 1/1A/1 D M W4;Stapelbout;5;;;1/1A/1;;W4;W4;Licht (standaard);;OK
AF 1/1A/1 D M W5;Stapelbout;5;;;1/1A/1;;W5;W5;Licht (standaard);;OK
AF 1/1A/1D M W55;Stapelbout;5;;;1/1A/1D;;W55;W55;Licht (standaard);;OK
AF 10 S M W2;Stapelbout;5;;;10;;W2;W2;Zwaar;;OK
AF 2 D M W3;Stapelbout;5;;;2;;W3;W3;Licht (standaard);;OK
AF 2 D M W5;Stapelbout;5;;;2;;W5;W5;Licht (standaard);;OK
AF 2 M W3;Stapelbout;5;;;2;;W3;W3;Licht (standaard);;OK
AF 2 M W5;Stapelbout;5;;;2;;W5;W5;Licht (standaard);;OK
AF 3 D M W3;Stapelbout;5;;;3;;W3;W3;Licht (standaard);;OK
AF 3 D M W5;Stapelbout;5;;;3;;W5;W5;Licht (standaard);;OK
AF 3 M W3;Stapelbout;5;;;3;;W3;W3;Licht (standaard);;OK
AF 3 M W5;Stapelbout;5;;;3;;W5;W5;Licht (standaard);;OK
AF 3 M W55;Stapelbout;5;;;3;;W55;W55;Licht (standaard);;OK
AF 3 S M W3;Stapelbout;5;;;3;;W3;W3;Zwaar;;OK
AF 3 S M W4;Stapelbout;5;;;3;;W4;W4;Zwaar;;OK
AF 3 S M W5;Stapelbout;5;;;3;;W5;W5;Zwaar;;OK
AF 4 D M W3;Stapelbout;5;;;4;;W3;W3;Licht (standaard);;OK
AF 4 D M W5;Stapelbout;5;;;4;;W5;W5;Licht (standaard);;OK
AF 4 M W3;Stapelbout;5;;;4;;W3;W3;Licht (standaard);;OK
AF 4 M W5;Stapelbout;5;;;4;;W5;W5;Licht (standaard);;OK
AF 4 S M W2;Stapelbout;5;;;4;;W2;W2;Zwaar;;OK
AF 4 S M W3;Stapelbout;5;;;4;;W3;W3;Zwaar;;OK
AF 4 S M W4;Stapelbout;5;;;4;;W4;W4;Zwaar;;OK
AF 4 S M W5;Stapelbout;5;;;4;;W5;W5;Zwaar;;OK
AF 5 D M W3;Stapelbout;5;;;5;;W3;W3;Licht (standaard);;OK
AF 5 D M W5;Stapelbout;5;;;5;;W5;W5;Licht (standaard);;OK
AF 5 M W3;Stapelbout;5;;;5;;W3;W3;Licht (standaard);;OK
AF 5 M W5;Stapelbout;5;;;5;;W5;W5;Licht (standaard);;OK
AF 5 S M W2;Stapelbout;5;;;5;;W2;W2;Zwaar;;OK
AF 5 S M W3;Stapelbout;5;;;5;;W3;W3;Zwaar;;OK
AF 5 S M W4;Stapelbout;5;;;5;;W4;W4;Zwaar;;OK
AF 5 S M W5;Stapelbout;5;;;5;;W5;W5;Zwaar;;OK
AF 6 M W3;Stapelbout;5;;;6;;W3;W3;Licht (standaard);;OK
AF 6 M W5;Stapelbout;5;;;6;;W5;W5;Licht (standaard);;OK
AF 6 S M W3;Stapelbout;5;;;6;;W3;W3;Zwaar;;OK
AF 6 S M W5;Stapelbout;5;;;6;;W5;W5;Zwaar;;OK
AF 7 M W3;Stapelbout;5;;;7;;W3;W3;Licht (standaard);;OK
AF 7 S M W3;Stapelbout;5;;;7;;W3;W3;Zwaar;;OK
AF 7 S M W5;Stapelbout;5;;;7;;W5;W5;Zwaar;;OK
AF 8 M W3;Stapelbout;5;;;8;;W3;W3;Licht (standaard);;OK
AF 8 S M W3;Stapelbout;5;;;8;;W3;W3;Zwaar;;OK
AF 9 S M W3;Stapelbout;5;;;9;;W3;W3;Zwaar;;OK
DP 1 W3;Dekplaat;4;;;1;Enkel;W3;W3;Licht (standaard);;OK
DP 1 W4;Dekplaat;4;;;1;Enkel;W4;W4;Licht (standaard);;OK
DP 1 W5;Dekplaat;4;;;1;Enkel;W5;W5;Licht (standaard);;OK
DP 1A W3;Dekplaat;4;;;1A;Enkel;W3;W3;Licht (standaard);;OK
DP 1A W4;Dekplaat;4;;;1A;Enkel;W4;W4;Licht (standaard);;OK
DP 1A W5;Dekplaat;4;;;1A;Enkel;W5;W5;Licht (standaard);;OK
DP 1A W55;Dekplaat;4;;;1A;Enkel;W55;W55;Licht (standaard);;OK
DP 1A W85;Dekplaat;4;;;1A;Enkel;W85;W85;Licht (standaard);;OK
DP 2 W3;Dekplaat;4;;;2;Enkel;W3;W3;Licht (standaard);;OK
DP 2 W4;Dekplaat;4;;;2;Enkel;W4;W4;Licht (standaard);;OK
DP 2 W5;Dekplaat;4;;;2;Enkel;W5;W5;Licht (standaard);;OK
DP 2 W55;Dekplaat;4;;;2;Enkel;W55;W55;Licht (standaard);;OK
DP 3 W3;Dekplaat;4;;;3;Enkel;W3;W3;Licht (standaard);;OK
DP 3 W4;Dekplaat;4;;;3;Enkel;W4;W4;Licht (standaard);;OK
DP 3 W5;Dekplaat;4;;;3;Enkel;W5;W5;Licht (standaard);;OK
DP 3 W55;Dekplaat;4;;;3;Enkel;W55;W55;Licht (standaard);;OK
DP 4 W3;Dekplaat;4;;;4;Enkel;W3;W3;Licht (standaard);;OK
DP 4 W4;Dekplaat;4;;;4;Enkel;W4;W4;Licht (standaard);;OK
DP 4 W5;Dekplaat;4;;;4;Enkel;W5;W5;Licht (standaard);;OK
DP 4 W55;Dekplaat;4;;;4;Enkel;W55;W55;Licht (standaard);;OK
DP 5 W3;Dekplaat;4;;;5;Enkel;W3;W3;Licht (standaard);;OK
DP 5 W4;Dekplaat;4;;;5;Enkel;W4;W4;Licht (standaard);;OK
DP 5 W5;Dekplaat;4;;;5;Enkel;W5;W5;Licht (standaard);;OK
DP 5 W55;Dekplaat;4;;;5;Enkel;W55;W55;Licht (standaard);;OK
DP 6 W3;Dekplaat;4;;;6;Enkel;W3;W3;Licht (standaard);;OK
DP 6 W4;Dekplaat;4;;;6;Enkel;W4;W4;Licht (standaard);;OK
DP 6 W5;Dekplaat;4;;;6;Enkel;W5;W5;Licht (standaard);;OK
DP 7 W3;Dekplaat;4;;;7;Enkel;W3;W3;Licht (standaard);;OK
DP 7 W4;Dekplaat;4;;;7;Enkel;W4;W4;Licht (standaard);;OK
DP 7 W5;Dekplaat;4;;;7;Enkel;W5;W5;Licht (standaard);;OK
DP 8 W3;Dekplaat;4;;;8;Enkel;W3;W3;Licht (standaard);;OK
DP 8 W5;Dekplaat;4;;;8;Enkel;W5;W5;Licht (standaard);;OK
DPAL 10 S W1;Dekplaat;4;;;10;Enkel;W1;W1;Zwaar;;OK
DPAL 10 S W3;Dekplaat;4;;;10;Enkel;W3;W3;Zwaar;;OK
DPAL 10 S W5;Dekplaat;4;;;10;Enkel;W5;W5;Zwaar;;OK
DPAL 11 S W1;Dekplaat;4;;;11;Enkel;W1;W1;Zwaar;;OK
DPAL 11 S W3;Dekplaat;4;;;11;Enkel;W3;W3;Zwaar;;OK
DPAL 12 S W1;Dekplaat;4;;;12;Enkel;W1;W1;Zwaar;;OK
DPAL 3 S W2;Dekplaat;4;;;3;Enkel;W2;W2;Zwaar;;OK
DPAL 3 S W3;Dekplaat;4;;;3;Enkel;W3;W3;Zwaar;;OK
DPAL 3 S W4;Dekplaat;4;;;3;Enkel;W4;W4;Zwaar;;OK
DPAL 3 S W5;Dekplaat;4;;;3;Enkel;W5;W5;Zwaar;;OK
DPAL 4 S W2;Dekplaat;4;;;4;Enkel;W2;W2;Zwaar;;OK
DPAL 4 S W3;Dekplaat;4;;;4;Enkel;W3;W3;Zwaar;;OK
DPAL 4 S W4;Dekplaat;4;;;4;Enkel;W4;W4;Zwaar;;OK
DPAL 4 S W5;Dekplaat;4;;;4;Enkel;W5;W5;Zwaar;;OK
DPAL 5 S W2;Dekplaat;4;;;5;Enkel;W2;W2;Zwaar;;OK
DPAL 5 S W3;Dekplaat;4;;;5;Enkel;W3;W3;Zwaar;;OK
DPAL 5 S W4;Dekplaat;4;;;5;Enkel;W4;W4;Zwaar;;OK
DPAL 5 S W5;Dekplaat;4;;;5;Enkel;W5;W5;Zwaar;;OK
DPAL 6 S W2;Dekplaat;4;;;6;Enkel;W2;W2;Zwaar;;OK
DPAL 6 S W3;Dekplaat;4;;;6;Enkel;W3;W3;Zwaar;;OK
DPAL 6 S W4;Dekplaat;4;;;6;Enkel;W4;W4;Zwaar;;OK
DPAL 6 S W5;Dekplaat;4;;;6;Enkel;W5;W5;Zwaar;;OK
DPAL 7 S W2;Dekplaat;4;;;7;Enkel;W2;W2;Zwaar;;OK
DPAL 7 S W3;Dekplaat;4;;;7;Enkel;W3;W3;Zwaar;;OK
DPAL 7 S W5;Dekplaat;4;;;7;Enkel;W5;W5;Zwaar;;OK
DPAL 8 S W1;Dekplaat;4;;;8;Enkel;W1;W1;Zwaar;;OK
DPAL 8 S W2;Dekplaat;4;;;8;Enkel;W2;W2;Zwaar;;OK
DPAL 8 S W3;Dekplaat;4;;;8;Enkel;W3;W3;Zwaar;;OK
DPAL 8 S W4;Dekplaat;4;;;8;Enkel;W4;W4;Zwaar;;OK
DPAL 8 S W5;Dekplaat;4;;;8;Enkel;W5;W5;Zwaar;;OK
DPAL 9 S W1;Dekplaat;4;;;9;Enkel;W1;W1;Zwaar;;OK
DPAL 9 S W3;Dekplaat;4;;;9;Enkel;W3;W3;Zwaar;;OK
DPAL 9 S W5;Dekplaat;4;;;9;Enkel;W5;W5;Zwaar;;OK
GD 1 D W3;Dekplaat;4;;;1;Dubbel;W3;W3;Licht (standaard);;OK
GD 1 D W4;Dekplaat;4;;;1;Dubbel;W4;W4;Licht (standaard);;OK
GD 1 D W5;Dekplaat;4;;;1;Dubbel;W5;W5;Licht (standaard);;OK
GD 1 D W55;Dekplaat;4;;;1;Dubbel;W55;W55;Licht (standaard);;OK
GD 2 D W3;Dekplaat;4;;;2;Dubbel;W3;W3;Licht (standaard);;OK
GD 2 D W4/2;Dekplaat;4;;;2;Dubbel;W4/2;W4/2;Licht (standaard);;OK
GD 2 D W5;Dekplaat;4;;;2;Dubbel;W5;W5;Licht (standaard);;OK
GD 2 D W55;Dekplaat;4;;;2;Dubbel;W55;W55;Licht (standaard);;OK
GD 3 D W3;Dekplaat;4;;;3;Dubbel;W3;W3;Licht (standaard);;OK
GD 3 D W4;Dekplaat;4;;;3;Dubbel;W4;W4;Licht (standaard);;OK
GD 3 D W5;Dekplaat;4;;;3;Dubbel;W5;W5;Licht (standaard);;OK
GD 3 D W55;Dekplaat;4;;;3;Dubbel;W55;W55;Licht (standaard);;OK
GD 4 D W3;Dekplaat;4;;;4;Dubbel;W3;W3;Licht (standaard);;OK
GD 4 D W5;Dekplaat;4;;;4;Dubbel;W5;W5;Licht (standaard);;OK
GD 5 D W3;Dekplaat;4;;;5;Dubbel;W3;W3;Licht (standaard);;OK
GD 5 D W5;Dekplaat;4;;;5;Dubbel;W5;W5;Licht (standaard);;OK
IS 1/1A M W3;Inbusbout;5;;;1/1A;;W3;W3;Licht (standaard);;OK
IS 1/1A M W5;Inbusbout;5;;;1/1A;;W5;W5;Licht (standaard);;OK
IS 2 M W3;Inbusbout;5;;;2;;W3;W3;Licht (standaard);;OK
IS 2 M W4;Inbusbout;5;;;2;;W4;W4;Licht (standaard);;OK
IS 2 M W5;Inbusbout;5;;;2;;W5;W5;Licht (standaard);;OK
IS 3 M W3;Inbusbout;5;;;3;;W3;W3;Licht (standaard);;OK
IS 3 M W4;Inbusbout;5;;;3;;W4;W4;Licht (standaard);;OK
IS 3 M W5;Inbusbout;5;;;3;;W5;W5;Licht (standaard);;OK
IS 3 S M W3;Inbusbout;5;;;3;;W3;W3;Zwaar;;OK
IS 4 M W3;Inbusbout;5;;;4;;W3;W3;Licht (standaard);;OK
IS 4 M W4;Inbusbout;5;;;4;;W4;W4;Licht (standaard);;OK
IS 4 M W5;Inbusbout;5;;;4;;W5;W5;Licht (standaard);;OK
IS 4 S M W3;Inbusbout;5;;;4;;W3;W3;Zwaar;;OK
IS 5 M W3;Inbusbout;5;;;5;;W3;W3;Licht (standaard);;OK
IS 5 M W4;Inbusbout;5;;;5;;W4;W4;Licht (standaard);;OK
