artikelnummer,[Items.Description],draadsoort,maat,stand,type
10817-40-32,CR. FITT. SAE FLANGE 3000PSI 45°,3000,2-1/2,45,flange
10817-40-40,CR. FITT. SAE FLANGE 3000PSI 45°,3000,2-1/2,45,flange
10817-48-40,CR. FITT. SAE FLANGE 3000PSI 45°,3000,3,45,flange
10817-48-48,CR. FITT. SAE FLANGE 3000PSI 45°,3000,3,45,flange
10818-08-08,CR. FITT. SAE FLANGE 6000PSI 45°,6000,1/2,45,flange
10818-12-08,CR. FITT. SAE FLANGE 6000PSI 45°,6000,3/4,45,flange
10818-12-10,CR. FITT. SAE FLANGE 6000PSI 45°,6000,3/4,45,flange
10818-12-12,CR. FITT. SAE FLANGE 6000PSI 45°,6000,3/4,45,flange
10818-12-16,CR. FITT. SAE FLANGE 6000PSI 45°,6000,3/4,45,flange
10818-16-12,CR. FITT. SAE FLANGE 6000PSI 45°,6000,1,45,flange
10818-16-16,CR. FITT. SAE FLANGE 6000PSI 45°,6000,1,45,flange
10818-20-16,CR. FITT. SAE FLANGE 6000PSI 45°,6000,1-1/4,45,flange
10818-20-20,CR. FITT. SAE FLANGE 6000PSI 45°,6000,1-1/4,45,flange
10818-24-24,CR. FITT. SAE FLANGE 6000PSI 45°,6000,1-1/2,45,flange
10818-32-32,CR. FITT. SAE FLANGE 6000PSI 45°,6000,2,45,flange
10825-04-04,CR. FITT. ORFS FEMALE 45° 9/16 X DN06,orfs,9/16,45,wartel
10825-06-04,CR. FITT. ORFS FEMALE 45° 11/16 X DN06,orfs,11/16,45,wartel
10825-06-05,CR. FITT. ORFS FEMALE 45° 11/16 X DN08,orfs,11/16,45,wartel
10825-06-06,CR. FITT. ORFS FEMALE 45° 11/16 X DN10,orfs,11/16,45,wartel
10825-08-06,CR. FITT. ORFS FEMALE 45° 13/16 X DN10,orfs,13/16,45,wartel
10825-08-08,CR. FITT. ORFS FEMALE 45° 13/16 X DN12,orfs,13/16,45,wartel
10825-08-10,CR. FITT. ORFS FEMALE 45° 13/16 X DN16,orfs,13/16,45,wartel
10825-10-08,CR. FITT. ORFS FEMALE 45° 1 X DN12,orfs,1,45,wartel
10825-10-10,CR. FITT. ORFS FEMALE 45° 1 X DN16,orfs,1,45,wartel
10825-12-08,CR. FITT. ORFS FEMALE 45° 1-3/16 X DN12,orfs,1-3/16,45,wartel
10825-12-10,CR. FITT. ORFS FEMALE 45° 1-3/16 X DN16,orfs,1-3/16,45,wartel
10825-12-12,CR. FITT. ORFS FEMALE 45° 1-3/16 X DN20,orfs,1-3/16,45,wartel
10825-16-12,CR. FITT. ORFS FEMALE 45° 1-7/16 X DN20,orfs,1-7/16,45,wartel
10825-16-16,CR. FITT. ORFS FEMALE 45° 1-7/16 X DN25,orfs,1-7/16,45,wartel
10825-20-20,CR. FITT. ORFS FEMALE 45° 1-11/16 X DN32,orfs,1-11/16,45,wartel
10825-24-24,CR. FITT. ORFS FEMALE 45° 2 X DN40,orfs,2,45,wartel
10890-06-03,CR. FITT. METR. STANDPIPE 45°,metrisch,06,45,standpijp
10890-06-04,CR. FITT. METR. STANDPIPE 45°,metrisch,06,45,standpijp
10890-08-04,CR. FITT. METR. STANDPIPE 45°,metrisch,08,45,standpijp
10890-10-04,CR. FITT. METR. STANDPIPE 45°,metrisch,10,45,standpijp
10890-10-06,CR. FITT. METR. STANDPIPE 45°,metrisch,10,45,standpijp
10890-12-06,CR. FITT. METR. STANDPIPE 45°,metrisch,12,45,standpijp
10890-15-06,CR. FITT. METR. STANDPIPE 45°,metrisch,15,45,standpijp
10890-15-08,CR. FITT. METR. STANDPIPE 45°,metrisch,15,45,standpijp
10890-18-10,CR. FITT. METR. STANDPIPE 45°,metrisch,18,45,standpijp
10890-35-20,CR. FITT. METR. STANDPIPE 45°,metrisch,35,45,standpijp
10895-12-03,CR. FITT. METR. SWIVEL 45° (06L) M12 X DN05,metrisch,06L,45,wartel
10895-12-04,CR. FITT. METR. SWIVEL 45° (06L) M12 X DN06,metrisch,06L,45,wartel
10895-14-03,CR. FITT. METR. SWIVEL 45° (08L) M14 X DN05,metrisch,08L,45,wartel
10895-14-04,CR. FITT. METR. SWIVEL 45° (08L) M14 X DN06,metrisch,08L,45,wartel
10895-14-05,CR. FITT. METR. SWIVEL 45° (08L) M14 X DN08,metrisch,08L,45,wartel
10895-16-04,CR. FITT. METR. SWIVEL 45° (10L) M16 X DN06,metrisch,10L,45,wartel
10895-16-05,CR. FITT. METR. SWIVEL 45° (10L) M16 X DN08,metrisch,10L,45,wartel
10895-16-06,CR. FITT. METR. SWIVEL 45° (10L) M16 X DN10,metrisch,10L,45,wartel
10895-18-04,CR. FITT. METR. SWIVEL 45° (12L) M18 X DN06,metrisch,12L,45,wartel
10895-18-05,CR. FITT. METR. SWIVEL 45° (12L) M18 X DN08,metrisch,12L,45,wartel
10895-18-06,CR. FITT. METR. SWIVEL 45° (12L) M18 X DN10,metrisch,12L,45,wartel
10895-18-08,CR. FITT. METR. SWIVEL 45° (12L) M18 X DN12,metrisch,12L,45,wartel
10895-22-06,CR. FITT. METR. SWIVEL 45° (15L) M22 X DN10,metrisch,15L,45,wartel
10895-22-08,CR. FITT. METR. SWIVEL 45° (15L) M22 X DN12,metrisch,15L,45,wartel
10895-26-08,CR. FITT. METR. SWIVEL 45° (18L) M26 X DN12,metrisch,18L,45,wartel
10895-26-10,CR. FITT. METR. SWIVEL 45° (18L) M26 X DN16,metrisch,18L,45,wartel
10895-30-10,CR. FITT. METR. SWIVEL 45° (22L) M30 X DN16,metrisch,22L,45,wartel
10895-30-12,CR. FITT. METR. SWIVEL 45° (22L) M30 X DN20,metrisch,22L,45,wartel
10895-30-16,CR. FITT. METR. SWIVEL 45° (22L) M30 X DN25,metrisch,22L,45,wartel
10895-36-12,CR. FITT. METR. SWIVEL 45° (28L) M36 X DN20,metrisch,28L,45,wartel
10895-36-16,CR. FITT. METR. SWIVEL 45° (28L) M36 X DN25,metrisch,28L,45,wartel
10895-36-20,CR. FITT. METR. SWIVEL 45° (28L) M36 X DN32,metrisch,28L,45,wartel
10895-45-16,CR. FITT. METR. SWIVEL 45° (35L) M45 X DN25,metrisch,35L,45,wartel
10895-45-20,CR. FITT. METR. SWIVEL 45° (35L) M45 X DN32,metrisch,35L,45,wartel
10895-52-24,CR. FITT. METR. SWIVEL 45° (42L) M52 X DN40,metrisch,42L,45,wartel
10896-14-04,CR. FITT. METR. SWIVEL 45° (06S) M14 X DN06,metrisch,06S,45,wartel
10896-16-03,CR. FITT. METR. SWIVEL 45° (08S) M16 X DN05,metrisch,08S,45,wartel
10896-16-04,CR. FITT. METR. SWIVEL 45° (08S) M16 X DN06,metrisch,08S,45,wartel
10896-18-04,CR. FITT. METR. SWIVEL 45° (10S) M18 X DN06,metrisch,10S,45,wartel
10896-18-05,CR. FITT. METR. SWIVEL 45° (10S) M18 X DN08,metrisch,10S,45,wartel
10896-18-06,CR. FITT. METR. SWIVEL 45° (10S) M18 X DN10,metrisch,10S,45,wartel
10896-20-04,CR. FITT. METR. SWIVEL 45° (12S) M20 X DN06,metrisch,12S,45,wartel
10896-20-05,CR. FITT. METR. SWIVEL 45° (12S) M20 X DN08,metrisch,12S,45,wartel
10896-20-06,CR. FITT. METR. SWIVEL 45° (12S) M20 X DN10,metrisch,12S,45,wartel
10896-22-06,CR. FITT. METR. SWIVEL 45° (14S) M22 X DN10,metrisch,14S,45,wartel
10896-22-08,CR. FITT. METR. SWIVEL 45° (14S) M22 X DN12,metrisch,14S,45,wartel
10896-24-06,CR. FITT. METR. SWIVEL 45° (16S) M24 X DN10,metrisch,16S,45,wartel
10896-24-08,CR. FITT. METR. SWIVEL 45° (16S) M24 X DN12,metrisch,16S,45,wartel
10896-24-10,CR. FITT. METR. SWIVEL 45° (16S) M24 X DN10,metrisch,16S,45,wartel
10896-30-10,CR. FITT. METR. SWIVEL 45° (20S) M30 X DN16,metrisch,20S,45,wartel
10896-30-12,CR. FITT. METR. SWIVEL 45° (20S) M30 X DN20,metrisch,20S,45,wartel
10896-36-12,CR. FITT. METR. SWIVEL 45° (25S) M36 X DN20,metrisch,25S,45,wartel
10896-36-16,CR. FITT. METR. SWIVEL 45° (25S) M36 X DN25,metrisch,25S,45,wartel
10896-42-16,CR. FITT. METR. SWIVEL 45° (30S) M42 X DN25,metrisch,30S,45,wartel
10896-42-20,CR. FITT. METR. SWIVEL 45° (30S) M42 X DN32,metrisch,30S,45,wartel
10896-52-20,CR. FITT. METR. SWIVEL 45° (38S) M52 X DN32,metrisch,38S,45,wartel
10913-02-03,CR. FITT. BSP SWIVEL 90° 1/8 X DN05,bsp,1/8,90,wartel
10913-02-04,CR. FITT. BSP SWIVEL 90° 1/8 X DN06,bsp,1/8,90,wartel
10913-04-03,CR. FITT. BSP SWIVEL 90° 1/4 X DN05,bsp,1/4,90,wartel
10913-04-04,CR. FITT. BSP SWIVEL 90° 1/4 X DN06,bsp,1/4,90,wartel
10913-04-05,CR. FITT. BSP SWIVEL 90° 1/4 X DN08,bsp,1/4,90,wartel
10913-04-06,CR. FITT. BSP SWIVEL 90° 1/4 X DN10,bsp,1/4,90,wartel
10913-06-04,CR. FITT. BSP SWIVEL 90° 3/8 X DN06,bsp,3/8,90,wartel
10913-06-05,CR. FITT. BSP SWIVEL 90° 3/8 X DN08,bsp,3/8,90,wartel
10913-06-06,CR. FITT. BSP SWIVEL 90° 3/8 X DN10,bsp,3/8,90,wartel
10913-06-08,CR. FITT. BSP SWIVEL 90° 3/8 X DN12,bsp,3/8,90,wartel
10913-08-04,CR. FITT. BSP SWIVEL 90° 1/2 X DN06,bsp,1/2,90,wartel
10913-08-05,CR. FITT. BSP SWIVEL 90° 1/2 X DN08,bsp,1/2,90,wartel
10913-08-06,CR. FITT. BSP SWIVEL 90° 1/2 X DN10,bsp,1/2,90,wartel
10913-08-08,CR. FITT. BSP SWIVEL 90° 1/2 X DN12,bsp,1/2,90,wartel
10913-08-10,CR. FITT. BSP SWIVEL 90° 1/2 X DN16,bsp,1/2,90,wartel
10913-10-08,CR. FITT. BSP SWIVEL 90° 5/8 X DN12,bsp,5/8,90,wartel
10913-10-10,CR. FITT. BSP SWIVEL 90° 5/8 X DN16,bsp,5/8,90,wartel
10913-12-08,CR. FITT. BSP SWIVEL 90° 3/4 X DN12,bsp,3/4,90,wartel
10913-12-10,CR. FITT. BSP SWIVEL 90° 3/4 X DN16,bsp,3/4,90,wartel
10913-12-12,CR. FITT. BSP SWIVEL 90° 3/4 X DN20,bsp,3/4,90,wartel
10913-12-16,CR. FITT. BSP SWIVEL 90° 3/4 X DN25,bsp,3/4,90,wartel
10913-16-12,CR. FITT. BSP SWIVEL 90° 1 X DN20,bsp,1,90,wartel
10913-16-16,CR. FITT. BSP SWIVEL 90° 1 X DN25,bsp,1,90,wartel
10913-20-16,CR. FITT. BSP SWIVEL 90° 11/4 X DN25,bsp,11/4,90,wartel
10913-20-20,CR. FITT. BSP SWIVEL 90° 11/4 X DN32,bsp,11/4,90,wartel
10913-24-20,CR. FITT. BSP SWIVEL 90° 11/2 X DN32,bsp,11/2,90,wartel
10913-24-24,CR. FITT. BSP SWIVEL 90° 11/2 X DN40,bsp,11/2,90,wartel
10913-32-32,CR. FITT. BSP SWIVEL 90° 2 X DN50,bsp,2,90,wartel
10913-40-40,CR. FITT. BSP SWIVEL 90° 21/2 X DN63,bsp,21/2,90,wartel
10913-48-48,CR. FITT. BSP SWIVEL 90° 3 X DN75,bsp,3,90,wartel
10915-04-03,CR. FITT. JIC 37° SWIVEL 90° 7/16 X DN05,jic,7/16,90,wartel
10915-04-04,CR. FITT. JIC 37° SWIVEL 90° 7/16 X DN06,jic,7/16,90,wartel
10915-05-04,CR. FITT. JIC 37° SWIVEL 90° 1/2 X DN06,jic,1/2,90,wartel
10915-05-05,CR. FITT. JIC 37° SWIVEL 90° 1/2 X DN08,jic,1/2,90,wartel
10915-06-04,CR. FITT. JIC 37° SWIVEL 90° 9/16 X DN06,jic,9/16,90,wartel
10915-06-05,CR. FITT. JIC 37° SWIVEL 90° 9/16 X DN08,jic,9/16,90,wartel
10915-06-06,CR. FITT. JIC 37° SWIVEL 90° 9/16 X DN10,jic,9/16,90,wartel
10915-08-06,CR. FITT. JIC 37° SWIVEL 90° 3/4 X DN10,jic,3/4,90,wartel
10915-08-08,CR. FITT. JIC 37° SWIVEL 90° 3/4 X DN12,jic,3/4,90,wartel
10915-10-06,CR. FITT. JIC 37° SWIVEL 90° 7/8 X DN10,jic,7/8,90,wartel
10915-10-08,CR. FITT. JIC 37° SWIVEL 90° 7/8 X DN12,jic,7/8,90,wartel
10915-10-10,CR. FITT. JIC 37° SWIVEL 90° 7/8 X DN16,jic,7/8,90,wartel
10915-12-08,CR. FITT. JIC 37° SWIVEL 90° 1-1/16 X DN12,jic,1-1/16,90,wartel
10915-12-10,CR. FITT. JIC 37° SWIVEL 90° 1-1/16 X DN16,jic,1-1/16,90,wartel
10915-12-12,CR. FITT. JIC 37° SWIVEL 90° 1-1/16 X DN20 0951-12-12,jic,1-1/16,90,wartel
10915-12-16,CR. FITT. JIC 37° SWIVEL 90° 1-1/16 X DN25,jic,1-1/16,90,wartel
10915-14-12,CR. FITT. JIC 37° SWIVEL 90° 1-3/16 X DN20,jic,1-3/16,90,wartel
10915-16-12,CR. FITT. JIC 37° SWIVEL 90° 1-5/16 X DN20,jic,1-5/16,90,wartel
10915-16-16,CR. FITT. JIC 37° SWIVEL 90° 1-5/16 X DN25 0951-16-16,jic,1-5/16,90,wartel
10915-16-20,CR. FITT. JIC 37° SWIVEL 90° 1-5/16 X DN32,jic,1-5/16,90,wartel
10915-20-16,CR. FITT. JIC 37° SWIVEL 90° 1-5/8 X DN25,jic,1-5/8,90,wartel
10915-20-20,CR. FITT. JIC 37° SWIVEL 90° 1-5/8 X DN32,jic,1-5/8,90,wartel
10915-24-24,CR. FITT. JIC 37° SWIVEL 90° 1-7/8 X DN40,jic,1-7/8,90,wartel
10915-32-32,CR. FITT. JIC 37° SWIVEL 90° 2-1/2 X DN50,jic,2-1/2,90,wartel
10916-14-04,CR. FITT. METR. SWIVEL 90° 0200-04-14,metrisch,M14,90,wartel
10916-16-04,CR. FITT. METR. SWIVEL 90°,metrisch,M16,90,wartel
10916-16-05,CR. FITT. METR. SWIVEL 90°,metrisch,M16,90,wartel
10916-18-06,CR. FITT. METR. SWIVEL 90°,metrisch,M18,90,wartel
10916-22-08,CR. FITT. METR. SWIVEL 90°,metrisch,M22,90,wartel
10916-30-12,CR. FITT. METR. SWIVEL 90°,metrisch,M30,90,wartel
10916-38-16,CR. FITT. METR. SWIVEL 90°,metrisch,M38,90,wartel
10916-45-20,CR. FITT. METR. SWIVEL 90°,metrisch,M45,90,wartel
10916-52-24,CR. FITT. METR. SWIVEL STR.,metrisch,M52,90,wartel
10916-78-40,CR. FITT. METR. SWIVEL 90°,metrisch,M78,90,wartel
10917-08-08,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1/2,90,flange
10917-08-10,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1/2,90,flange
10917-12-08,CR. FITT. SAE FLANGE 3000PSI 90°,3000,3/4,90,flange
10917-12-10,CR. FITT. SAE FLANGE 3000PSI 90°,3000,3/4,90,flange
10917-12-12,CR. FITT. SAE FLANGE 3000PSI 90°,3000,3/4,90,flange
10917-12-16,CR. FITT. SAE FLANGE 3000PSI 90°,3000,3/4,90,flange
10917-16-10,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1,90,flange
10917-16-12,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1,90,flange
10917-16-16,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1,90,flange
10917-16-20,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1,90,flange
10917-16-24,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1,90,flange
10917-20-10,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/4,90,flange
10917-20-16,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/4,90,flange
10917-20-20,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/4,90,flange
10917-20-24,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/4,90,flange
10917-20-32,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/4,90,flange
10917-24-16,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/2,90,flange
10917-24-20,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/2,90,flange
10917-24-24,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/2,90,flange
10917-24-32,CR. FITT. SAE FLANGE 3000PSI 90°,3000,1-1/2,90,flange
10917-32-24,CR. FITT. SAE FLANGE 3000PSI 90°,3000,2,90,flange
10917-32-32,CR. FITT. SAE FLANGE 3000PSI 90°,3000,2,90,flange
10917-32-40,CR. FITT. SAE FLANGE 3000PSI 90°,3000,2,90,flange
10917-40-32,CR. FITT. SAE FLANGE 3000PSI 90°,3000,2-1/2,90,flange
10917-40-40,CR. FITT. SAE FLANGE 3000PSI 90°,3000,2-1/2,90,flange
10917-40-48,CR. FITT. SAE FLANGE 3000PSI 90°,3000,2-1/2,90,flange
10917-48-48,CR. FITT. SAE FLANGE 3000PSI 90°,3000,3,90,flange
10917-56-48,CR. FITT. SAE FLANGE 3000PSI 90°,3000,3-1/2,90,flange
10917-64-48,CR. FITT. SAE FLANGE 3000PSI 90°,3000,4,90,flange
10918-08-08,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1/2,90,flange
10918-08-10,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1/2,90,flange
10918-08-12,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1/2,90,flange
10918-12-08,CR. FITT. SAE FLANGE 6000PSI 90°,6000,3/4,90,flange
10918-12-10,CR. FITT. SAE FLANGE 6000PSI 90°,6000,3/4,90,flange
10918-12-12,CR. FITT. SAE FLANGE 6000PSI 90°,6000,3/4,90,flange
10918-12-16,CR. FITT. SAE FLANGE 6000PSI 90°,6000,3/4,90,flange
10918-16-12,CR. FITT. SAE FLANGE 6000PSI 90° 1110-12-16,6000,1,90,flange
10918-16-16,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1,90,flange
10918-16-20,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1,90,flange
10918-20-16,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1-1/4,90,flange
10918-20-20,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1-1/4,90,flange
10918-20-24,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1-1/4,90,flange
10918-24-20,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1-1/2,90,flange
10918-24-24,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1-1/2,90,flange
10918-24-32,CR. FITT. SAE FLANGE 6000PSI 90°,6000,1-1/2,90,flange
10918-32-32,CR. FITT. SAE FLANGE 6000PSI 90°,6000,2,90,flange
10919-04-04,CR. FITT. BSP. SWIVEL 90° JAPANESE,BSPJ,1/4,90,wartel
10919-06-06,CR. FITT. BSP. SWIVEL 90° JAPANESE,BSPJ,3/8,90,wartel
10919-08-08,CR. FITT. BSP. SWIVEL 90° JAPANESE,BSPJ,1/2,90,wartel
10919-14-04,CR. FITT. METR. SWIVEL 90° JAPANESE,BSPJ,M14,90,wartel
10919-16-05,CR. FITT. METR. SWIVEL 90° JAPANESE,BSPJ,M16,90,wartel
10919-18-06,CR. FITT. METR. SWIVEL 90° JAPANESE,BSPJ,M18,90,wartel
10919-22-08,CR. FITT. METR. SWIVEL 90° JAPANESE,BSPJ,M22,90,wartel
10919-24-10,CR. FITT. METR. SWIVEL 90° JAPANESE,BSPJ,M24,90,wartel
10919-30-12,CR. FITT. METR. SWIVEL 90° JAPANESE 0990S12-30,BSPJ,M30,90,wartel
10920-08-05,CR. FITT. JIC 37° MALE 90°,jic,3/4,90,buiten
10920-08-06,CR. FITT. JIC 37° MALE 90°,jic,3/4,90,buiten
10925-04-04,CR. FITT. ORFS FEMALE 90° 9/16 X DN06,orfs,9/16,90,wartel
10925-06-04,CR. FITT. ORFS FEMALE 90° 11/16 X DN06,orfs,11/16,90,wartel
10925-06-05,CR. FITT. ORFS FEMALE 90° 11/16 X DN08,orfs,11/16,90,wartel
10925-06-06,CR. FITT. ORFS FEMALE 90° 11/16 X DN10,orfs,11/16,90,wartel
10925-08-06,CR. FITT. ORFS FEMALE 90° 13/16 X DN10,orfs,13/16,90,wartel
10925-08-08,CR. FITT. ORFS FEMALE 90° 13/16 X DN12 S150-08-11,orfs,13/16,90,wartel
10925-08-10,CR. FITT. ORFS FEMALE 90° 13/16 X DN16,orfs,13/16,90,wartel
10925-10-08,CR. FITT. ORFS FEMALE 90° 1 X DN12,orfs,1,90,wartel
10925-10-10,CR. FITT. ORFS FEMALE 90° 1 X DN16,orfs,1,90,wartel
10925-10-12,CR. FITT. ORFS FEMALE 90° 1 X DN20,orfs,1,90,wartel
10925-12-08,CR. FITT. ORFS FEMALE 90° 1-3/16 X DN12,orfs,1-3/16,90,wartel
10925-12-10,CR. FITT. ORFS FEMALE 90° 1-3/16 X DN16,orfs,1-3/16,90,wartel
10925-12-12,CR. FITT. ORFS FEMALE 90° 1-3/16 X DN20,orfs,1-3/16,90,wartel
10925-16-12,CR. FITT. ORFS FEMALE 90° 1-7/16 X DN20,orfs,1-7/16,90,wartel
10925-16-16,CR. FITT. ORFS FEMALE 90° 1-7/16 X DN25,orfs,1-7/16,90,wartel
10925-20-16,CR. FITT. ORFS FEMALE 90° 1-11/16 X DN25,orfs,1-11/16,90,wartel
10925-20-20,CR. FITT. ORFS FEMALE 90° 1-11/16 X DN32,orfs,1-11/16,90,wartel
10925-24-24,CR. FITT. ORFS FEMALE 90° 2 X DN40,orfs,2,90,wartel
10980-18-06,CR. FITT. METR. MALE 90°,metrisch,M18,90,buiten
10990-06-03,CR. FITT. METR. STANDPIPE 90°,metrisch,06,90,standpijp
10990-06-04,CR. FITT. METR. STANDPIPE 90°,metrisch,06,90,standpijp
10990-08-04,CR. FITT. METR. STANDPIPE 90°,metrisch,08,90,standpijp
10990-08-05,CR. FITT. METR. STANDPIPE 90°,metrisch,08,90,standpijp
10990-10-04,CR. FITT. METR. STANDPIPE 90°,metrisch,10,90,standpijp
10990-10-05,CR. FITT. METR. STANDPIPE 90°,metrisch,10,90,standpijp
10990-10-06,CR. FITT. METR. STANDPIPE 90°,metrisch,10,90,standpijp
10990-12-04,CR. FITT. METR. STANDPIPE 90°,metrisch,12,90,standpijp
10990-12-05,CR. FITT. METR. STANDPIPE 90°,metrisch,12,90,standpijp
10990-12-06,CR. FITT. METR. STANDPIPE 90°,metrisch,12,90,standpijp
10990-12-08,CR. FITT. METR. STANDPIPE 90°,metrisch,12,90,standpijp
10990-14-06,CR. FITT. METR. STANDPIPE 90°,metrisch,14,90,standpijp
10990-15-06,CR. FITT. METR. STANDPIPE 90°,metrisch,15,90,standpijp
10990-15-08,CR. FITT. METR. STANDPIPE 90°,metrisch,15,90,standpijp
10990-16-08,CR. FITT. METR. STANDPIPE 90°,metrisch,16,90,standpijp
10990-18-10,CR. FITT. METR. STANDPIPE 90°,metrisch,18,90,standpijp
10990-20-10,CR. FITT. METR. STANDPIPE 90°,metrisch,20,90,standpijp
10990-22-12,CR. FITT. METR. STANDPIPE 90°,metrisch,22,90,standpijp
10990-25-12,CR. FITT. METR. STANDPIPE 90°,metrisch,25,90,standpijp
10990-28-16,CR. FITT. METR. STANDPIPE 90°,metrisch,28,90,standpijp
10990-35-20,CR. FITT. METR. STANDPIPE 90°,metrisch,35,90,standpijp
10995-12-03,CR. FITT. METR. SWIVEL 90° (06L) M12 X DN05 0185-03-12,metrisch,06L,90,wartel
10995-12-04,CR. FITT. METR. SWIVEL 90° (06L) M12 X DN06,metrisch,06L,90,wartel
10995-14-03,CR. FITT. METR. SWIVEL 90° (08L) M14 X DN05,metrisch,08L,90,wartel
10995-14-04,CR. FITT. METR. SWIVEL 90° (08L) M14 X DN06,metrisch,08L,90,wartel
10995-14-05,CR. FITT. METR. SWIVEL 90° (08L) M14 X DN08,metrisch,08L,90,wartel
10995-16-04,CR. FITT. METR. SWIVEL 90° (10L) M16 X DN06,metrisch,10L,90,wartel
10995-16-05,CR. FITT. METR. SWIVEL 90° (10L) M16 X DN08,metrisch,10L,90,wartel
10995-16-06,CR. FITT. METR. SWIVEL 90° (10L) M16 X DN10,metrisch,10L,90,wartel
10995-18-04,CR. FITT. METR. SWIVEL 90° (12L) M18 X DN06,metrisch,12L,90,wartel
10995-18-05,CR. FITT. METR. SWIVEL 90° (12L) M18 X DN08,metrisch,12L,90,wartel
10995-18-06,CR. FITT. METR. SWIVEL 90° (12L) M18 X DN10,metrisch,12L,90,wartel
10995-18-08,CR. FITT. METR. SWIVEL 90° (12L) M18 X DN12,metrisch,12L,90,wartel
10995-22-06,CR. FITT. METR. SWIVEL 90° (15L) M22 X DN10,metrisch,15L,90,wartel
10995-22-08,CR. FITT. METR. SWIVEL 90° (15L) M22 X DN12,metrisch,15L,90,wartel
10995-22-10,CR. FITT. METR. SWIVEL 90° (15L) M22 X DN16,metrisch,15L,90,wartel
10995-22-12,CR. FITT. METR. SWIVEL 90° (15L) M22 X DN20,metrisch,15L,90,wartel
10995-26-08,CR. FITT. METR. SWIVEL 90° (18L) M26 X DN12,metrisch,18L,90,wartel
10995-26-10,CR. FITT. METR. SWIVEL 90° (18L) M26 X DN16,metrisch,18L,90,wartel
10995-26-12,CR. FITT. METR. SWIVEL 90° (18L) M26 X DN20,metrisch,18L,90,wartel
10995-30-10,CR. FITT. METR. SWIVEL 90° (22L) M30 X DN16,metrisch,22L,90,wartel
10995-30-12,CR. FITT. METR. SWIVEL 90° (22L) M30 X DN20,metrisch,22L,90,wartel
10995-30-16,CR. FITT. METR. SWIVEL 90° (22L) M30 X DN25,metrisch,22L,90,wartel
10995-36-12,CR. FITT. METR. SWIVEL 90° (28L) M36 X DN20,metrisch,28L,90,wartel
10995-36-16,CR. FITT. METR. SWIVEL 90° (28L) M36 X DN25,metrisch,28L,90,wartel
10995-36-20,CR. FITT. METR. SWIVEL 90° (28L) M36 X DN32,metrisch,28L,90,wartel
10995-45-16,CR. FITT. METR. SWIVEL 90° (35L) M45 X DN25,metrisch,35L,90,wartel
10995-45-20,CR. FITT. METR. SWIVEL 90° (35L) M45 X DN32,metrisch,35L,90,wartel
10995-52-20,CR. FITT. METR. SWIVEL 90° (42L) M52 X DN32,metrisch,42L,90,wartel
10995-52-24,CR. FITT. METR. SWIVEL 90° (42L) M52 X DN40,metrisch,42L,90,wartel
10996-14-04,CR. FITT. METR. SWIVEL 90° (06S) M14 X DN06,metrisch,06S,90,wartel
10996-16-03,CR. FITT. METR. SWIVEL 90° (08S) M16 X DN05,metrisch,08S,90,wartel
10996-16-04,CR. FITT. METR. SWIVEL 90° (08S) M16 X DN06,metrisch,08S,90,wartel
10996-16-05,CR. FITT. METR. SWIVEL 90° (08S) M16 X DN08,metrisch,08S,90,wartel
10996-18-04,CR. FITT. METR. SWIVEL 90° (10S) M18 X DN06 0184-04-18,metrisch,10S,90,wartel
10996-18-05,CR. FITT. METR. SWIVEL 90° (10S) M18 X DN08,metrisch,10S,90,wartel
10996-18-06,CR. FITT. METR. SWIVEL 90° (10S) M18 X DN10,metrisch,10S,90,wartel
10996-20-04,CR. FITT. METR. SWIVEL 90° (12S) M20 X DN06,metrisch,12S,90,wartel
10996-20-05,CR. FITT. METR. SWIVEL 90° (12S) M20 X DN08,metrisch,12S,90,wartel
10996-20-06,CR. FITT. METR. SWIVEL 90° (12S) M20 X DN10,metrisch,12S,90,wartel
