artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm)
0424-06;NO-SKIVE LONGLIFE 2SC DN10 W.P. 350 BAR;Interpump;THE202K-06;350;13002-06MM;20,4;;;;;;
0424-08;NO-SKIVE LONGLIFE 2SC DN12 W.P. 310 BAR;Interpump;THE202K-08;310;13002-08MM;23;;;;;;
0424-10;NO-SKIVE LONGLIFE 2SC DN16 W.P. 280 BAR;Interpump;THE202K-10;280;13002-10MM;26,8;;;;;;
0424-12;NO-SKIVE LONGLIFE 2SC DN20 W.P. 240 BAR;Interpump;THE202K-12;240;13002-12MM;30,7;;;;;;
0424-16;NO-SKIVE LONGLIFE 2SC DN25 W.P. 185 BAR;Interpump;THE202K-16;185;13002-16MM;38,6;;;;;;
0424-20;NO-SKIVE LONGLIFE 2SC DN32 W.P. 160 BAR;Interpump;THE202K-20;160;13002-20MM;46,9;;;;;;
0424-24;NO-SKIVE LONGLIFE 2SC DN40 W.P. 150 BAR;Interpump;THE202K-24;150;13002-24MM;55;;;;;;
0424-32;NO-SKIVE LONGLIFE 2SC DN50 W.P. 100 BAR;Interpump;THE202K-32;100;13002-32MM;67,8;;;;;;
0424-40;NO-SKIVE LONGLIFE 2SC DN63 W.P. 80 BAR;Interpump;THE202K-40;80;13002-40MM;81,2;;;;;;
0424-48;NO-SKIVE LONGLIFE 2SC DN76 W.P. 65 BAR;Interpump;THE202K-48;65;13002-48MM;92,6;;;;;;
0425-03;NO-SKIVE 4.8MM (3/16) DN05 SAE100R2AT 2SN W.P. 415 BAR;Interpump;TFD0021-03;415;13001-03MM;15,9;;;;;;
0425-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R2AT 2SN W.P. 400 BAR;Interpump;TFD2022-04;400;13001-04MM;16,9;;;;;;
0425-05;NO-SKIVE 7.9MM (5/16) DN08 SAE100R2AT 2SN W.P. 350 BAR;Interpump;TFD2022-05;350;13001-05MM;18,8;;;;;;
0425-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R2AT 2SN W.P. 330 BAR;Interpump;TFD2022-06;330;13001-06MM;20,5;;;;;;
0425-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R2AT 2SN W.P. 275 BAR;Interpump;TFD2022-08;275;13001-08MM;24,4;;;;;;
0425-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R2AT 2SN W.P. 250 BAR;Interpump;TFD2022-10;250;13001-10MM;27,9;;;;;;
0425-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R2AT 2SN W.P. 215 BAR;Interpump;TFD2022-12;215;13001-12MM;32,1;;;;;;
0425-16;NO-SKIVE 25.4MM (1) DN25 SAE100R2AT 2SN W.P. 165 BAR;Interpump;TFD2022-16;165;13001-16MM;39,6;;;;;;
0425-20;NO-SKIVE 31.8MM (1-1/4) DN32 SAE100R2AT 2SN W.P. 125 BAR;Interpump;TFD0022-20;125;13001-20MM;48,6;;;;;;
0425-24;NO-SKIVE 38.1MM (1-1/2) DN40 SAE100R2AT 2SN W.P. 90 BAR;Interpump;TFD0022-24;90;13001-24MM;56,4;;;;;;
0425-32;NO-SKIVE 50.8MM (2) DN50 SAE100R2AT 2SN W.P. 80 BAR;Interpump;TFD0021-32;80;13001-32MM;69,5;;;;;;
0426-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R1AT W.P. 192 BAR BLUE 426-4;Parker;426-4-RL;192;13002-04MM;15,5;;;;;;
0426-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R1AT W.P. 157 BAR BLUE 426-6;Parker;426-6-RL;157;13002-06MM;20,4;;;;;;
0426-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R1AT W.P. 140 BAR BLUE 426-;Parker;426-8-RL;140;13002-08MM;23,4;;;;;;
0426-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R1AT W.P. 105 BAR BLUE 426-;Parker;426-10-RL;105;13002-10MM;26,8;;;;;;
0426-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R1AT W.P. 87 BAR BLUE 426-1;Parker;426-12-RL;87;13002-12MM;31;;;;;;
0426-16;NO-SKIVE 25.4MM (1) DN25 SAE100R1AT W.P. 70 BAR BLUE 426-16-;Parker;426-16;70;13002-16MM;38,8;;;;;;
0426-20;NO-SKIVE 31.8MM (1-1/4) DN32 SAE100R1AT W.P. 43 BAR BLUE 426;Parker;426-20;43;13002-20MM;48;;;;;;
0426-24;NO-SKIVE 38.1MM (1-1/2) DN40 SAE100R1AT W.P. 35 BAR BLUE 426;Parker;426-24;35;13002-24MM;55,2;;;;;;
0426-32;NO-SKIVE 50.8MM (2) DN50 SAE100R1AT W.P. 26 BAR BLUE 426-32;Parker;426-32;26;13002-32MM;68,4;;;;;;
0427-04;MTR SLANG JACKMASTER;Polimer Kaucuk;H320006073;;13001-04MM;;;;;;;
0427-04M;MTR SLANG JACKMASTER MANULI;Manuli;0427-04;;M03400-04;;;;;;;
0427-06;MTR SLANG JACKMASTER;Manuli;0427-06;;M03400-06;;;;;;;
0428-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R2A 2SN W.P. 400 BAR;Interpump;TFD0022-04;400;0022-04MM;16,9;;;;;;
0428-05;NO-SKIVE 7.9MM (5/16) DN08 SAE100R2A 2SN W.P. 350 BAR;Interpump;TFD0022-05;350;0022-05MM;18,8;;;;;;
0428-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R2A 2SN W.P. 330 BAR;Interpump;TFD0022-06;330;0022-06MM;20,5;;;;;;
0428-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R2A 2SN W.P. 275 BAR;Interpump;TFD0022-08;275;0022-08MM;24,4;;;;;;
0428-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R2A 2SN W.P. 250 BAR;Interpump;TFD0022-10;250;0022-10MM;27,9;;;;;;
0428-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R2A 2SN W.P. 215 BAR;Interpump;TFD0022-12;215;0022-12MM;32,1;;;;;;
0429-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 2SC W.P. 400 BAR;Interpump;TFE202K-04;400;13002-04MM;15,5;;;;;;
0429-05;NO-SKIVE 8.0MM (5/16) DN08 COMPACT 2SC W.P. 350 BAR;Interpump;TFE202K-05;350;13002-05MM;17,8;;;;;;
0429-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 330 BAR;Interpump;TFE202K-06;330;13002-06MM;20,4;;;;;;
0429-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 275 BAR;Interpump;TFE202K-08;275;13002-08MM;23;;;;;;
0429-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 2SC.W.P.250 BAR;Interpump;TFE202K-10;250;13002-10MM;26,8;;;;;;
0429-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 2SC.W.P.215 BAR;Interpump;TFE202K-12;215;13002-12MM;30,7;;;;;;
0429-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 2SC W.P. 165 BAR;Interpump;TFE202K-16;165;13002-16MM;38,6;;;;;;
0436-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R16 W.P. 275 BAR BLUE 436-6-;Parker;436-6-BLU-RL;275;;;;;13002-06MM;20,4;;
0436-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R16 W.P. 240 BAR BLUE 436-8;Parker;436-8-BLU-RL;240;;;;;13002-08MM;23;;
0436-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R16 W.P. 190 BAR BLUE;Parker;436-10-BLU-RL;190;;;;;13002-10MM;26,8;;
0436-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R16 W.P. 155 BAR BLUE 436-1;Parker;436-12-BLU-RL;155;;;;;13002-12MM;30,7;;
0436-16;NO-SKIVE 25.4MM (1) DN25 SAE100R16 W.P. 138 BAR BLUE 436-16-;Parker;436-16-BLU-RL;138;;;;;13002-16MM;38,6;;
0461LT-04;NO-SKIVE 6.3MM (1/4) DN06 L.T. COMPACT 2SC W.P. 425 BAR;Parker;461LT-4;425;;;;;;;;
0461LT-05;NO-SKIVE 7.9MM (5/16) DN08 L.T. COMPACT 2SC W.P. 400 BAR;Parker;461LT-5;400;;;;;;;;
0461LT-06;NO-SKIVE 9.5MM (3/8) DN10 L.T. COMPACT 2SC W.P. 350 BAR;Parker;461LT-6;350;;;;;;;;
0461LT-08;NO-SKIVE 12.7MM (1/2) DN12 L.T. COMPACT 2SC W.P. 310 BAR;Parker;461LT-8;310;;;;;;;;
0461LT-10;NO-SKIVE 15.9MM (5/8) DN16 L.T. COMPACT 2SC W.P. 280 BAR;Parker;461LT-10;280;;;;;;;;
0461LT-12;NO-SKIVE 19.1MM (3/4) DN20 L.T. COMPACT 2SC W.P. 280 BAR;Parker;461LT-12;280;;;;;;;;
0461LT-16;NO-SKIVE 25.4MM (1) DN25 L.T. COMPACT 2SC W.P. 210 BAR;Parker;461LT-16;210;;;;;;;;
0462-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 2SC W.P. 425 BAR 462-4;Parker;462-4;425;13001-04MM;16,7;;;13002-04MM;15,5;;
0462-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 2SC W.P. 400 BAR 462-5;Parker;462-5;400;13001-05MM;18,7;;;13002-05MM;17,8;;
0462-05-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 2SC W.P. 400 BAR TWIN 462;Parker;462-5-5;400;;;;;;;;
0462-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 350 BAR 462-6;Parker;462-6;350;13001-06MM;20,1;;;13002-06MM;20,4;;
0462-06-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 350 BAR TWIN 461-;Parker;462-6-6;350;;;;;;;;
0462-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 310 BAR 462-8;Parker;462-8;310;13001-08MM;24,3;;;13002-08MM;23;;
0462-08-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 310 BAR TWIN 461;Parker;462-8-8;310;;;;;;;;
0462-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 2SC W.P. 280 BAR 462-10;Parker;462-10;280;13001-10MM;27,7;;;13002-10MM;26,8;;
0462-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 2SC W.P. 280 BAR 462-12;Parker;462-12;280;13001-12MM;31,4;;;13002-12MM;30,7;;
0462-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 2SC W.P. 210 BAR 462-16;Parker;462-16;210;13001-16MM;39,6;;;13002-16MM;38,6;;
0462-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMPACT 2SC W.P. 172 BAR 462-20;Parker;462-20;172;13001-20MM;47,2;;;13002-20MM;46,9;;
0462PU-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 2SC W.P. 425 BAR;Parker;462PU-4;425;13001-04MM;16,7;;;13002-04MM;15,5;;
0462PU-04-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 2SC W.P. 425 BAR TWIN;Parker;462PU-4-4;425;;;;;;;;
0462PU-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 2SC W.P. 400 BAR;Parker;462PU-5;400;13001-05MM;18,7;;;13002-05MM;17,8;;
0462PU-05-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 2SC W.P. 400 BAR TWIN;Parker;462PU-5-5;400;;;;;;;;
0462PU-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 2SC W.P. 350 BAR;Parker;462PU-6;350;13001-06MM;20,1;;;13002-06MM;20,4;;
0462PU-06-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 2SC W.P. 350 BAR TWIN;Parker;462PU-6-6;350;;;;;;;;
0462PU-08;NO-SKIVE 12.7MM (1/2) DN12 PU COMPACT 2SC W.P. 310 BAR;Parker;462PU-8;310;13001-08MM;24,3;;;13002-08MM;23;;
0462PU-08-08;NO-SKIVE 12.7MM (1/2) DN12 PU COMPACT 2SC W.P. 310 BAR TWIN;Parker;462PU-8-8;310;;;;;;;;
0462PU-10;NO-SKIVE 15.9MM (5/8) DN16 PU COMPACT 2SC W.P. 280 BAR;Parker;462PU-10;280;13001-10MM;27,7;;;13002-10MM;26,8;;
0462ST-04;NO-SKIVE 6.3MM (1/4) DN06 S.T. COMPACT 2SC W.P. 425 BAR 462S;Parker;462ST-4;425;13001-04MM;16,7;;;13002-04MM;15,5;;
0462ST-05;NO-SKIVE 7.9MM (5/16) DN08 S.T. COMPACT 2SC W.P. 400 BAR 462;Parker;462ST-5;400;13001-05MM;18,7;;;13002-05MM;17,8;;
0462ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMPACT 2SC W.P. 350 BAR 462S;Parker;462ST-6;350;13001-06MM;20,1;;;13002-06MM;20,4;;
0462ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. COMPACT 2SC W.P. 310 BAR 462;Parker;462ST-8;310;13001-08MM;24,3;;;13002-08MM;23;;
0462ST-10;NO-SKIVE 15.9MM (5/8) DN16 S.T. COMPACT 2SC W.P. 280 BAR 462;Parker;462ST-10;280;13001-10MM;27,7;;;13002-10MM;26,8;;
0462ST-12;NO-SKIVE 19.1MM (3/4) DN20 S.T. COMPACT 2SC W.P. 280 BAR 462;Parker;462ST-12;280;13001-12MM;31,4;;;13002-12MM;30,7;;
0462ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. COMPACT 2SC W.P. 210 BAR 462ST;Parker;462ST-16;210;13001-16MM;39,6;;;13002-16MM;38,6;;
0462ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 S.T. COMPACT 2SC W.P. 172 BAR 4;Parker;462ST-20;172;13001-20MM;47,2;;;13002-20MM;46,9;;
0462TC-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMPACT 2SC W.P. 425 BAR 462T;Parker;462TC-4;425;13001-04MM;16,7;;;13002-04MM;15,5;;
0462TC-05;NO-SKIVE 7.9MM (5/16) DN08 T.C. COMPACT 2SC W.P. 400 BAR 462;Parker;462TC-5;400;13001-05MM;18,7;;;13002-05MM;17,8;;
0462TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT 2SC W.P. 350 BAR 462T;Parker;462TC-6;350;13001-06MM;20,1;;;13002-06MM;20,4;;
0462TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMPACT 2SC W.P. 310 BAR 462;Parker;462TC-8;310;13001-08MM;24,3;;;13002-08MM;23;;
0462TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMPACT 2SC W.P. 280 BAR 462;Parker;462TC-10;280;13001-10MM;27,7;;;13002-10MM;26,8;;
0462TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMPACT 2SC W.P. 280 BAR 462;Parker;462TC-12;280;13001-12MM;31,4;;;13002-12MM;30,7;;
0462TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMPACT 2SC W.P. 210 BAR 462TC;Parker;462TC-16;210;13001-16MM;39,6;;;13002-16MM;38,6;;
0462TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMPACT 2SC W.P. 172 BAR 4;Parker;462TC-20;172;13001-20MM;47,2;;;13002-20MM;46,9;;
0462TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMPACT 2SC W.P. 146 BAR;Parker;462TC-24;146;;;;;13002-24MM;;;
0462TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMPACT 2SC W.P. 112 BAR 462TC;Parker;462TC-32;112;;;;;13002-32MM;;;
0462TC-40;NO-SKIVE 63.5MM (2-1/2) DN63 T.C. COMPACT 2SC W.P. 70 BAR 46;Parker;462TC-40;70;;;;;13002-40MM;;;
0462TC-48;NO-SKIVE 76.2MM (3) DN75 T.C. COMPACT 2SC W.P. 70 BAR;Parker;462TC-48;70;;;;;13002-48MM;;;
0463-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 2SC W.P. 400 BAR BLUE 463;Parker;463-5-BLU;400;13000-05;19;;23;;;;
0463-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 400 BAR BLUE 463-;Parker;463-6-BLU-GT80;400;13000-06;20,8;;24;;;;
0463-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 350 BAR BLUE 463;Parker;463-8-BLU;350;13000-08;24,4;;26;;;;
0477-04;NO-SKIVE 6.3MM (1/4) DN10 POWERLIFT W.P. 450 BAR 477-4;Parker;477-4;450;;;;;13002-04MM;15,5;;
0477-05;NO-SKIVE 7.9MM (5/16) DN08 POWERLIFT W.P. 425 BAR 477-5;Parker;477-5;425;;;;;13002-05MM;17,8;;
0477-06;NO-SKIVE 9.5MM (3/8) DN10 POWERLIFT W.P. 400 BAR 477-6;Parker;477-6;400;;;;;13002-06MM;20,4;;
0477-08;NO-SKIVE 12.7MM (1/2) DN12 POWERLIFT W.P. 380 BAR 477-8;Parker;477-8;380;;;;;13002-08MM;23;;
0477-10;NO-SKIVE 15.9MM (5/8) DN16 POWERLIFT W.P. 350 BAR 477-10;Parker;477-10;350;;;;;13002-10MM;26,8;;
0477-12;NO-SKIVE 19.1MM (3/4) DN20 POWERLIFT W.P. 350 BAR 477-12;Parker;477-12;350;;;;;13002-12MM;30,7;;
0477-16;NO-SKIVE 25.4MM (1) DN25 POWERLIFT W.P. 250 BAR 477-16;Parker;477-16;280;;;;;13002-16MM;38,6;;
0477TC-04;NO-SKIVE 6.3MM (1/4) DN10 T.C. POWERLIFT W.P. 450 BAR;Parker;477TC-4;450;;;;;13002-04MM;15,5;;
0477TC-05;NO-SKIVE 7.9MM (5/16) DN08 T.C. POWERLIFT W.P. 425 BAR;Parker;477TC-5;425;;;;;13002-05MM;17,8;;
0477TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. POWERLIFT W.P. 400 BAR;Parker;477TC-6;400;;;;;13002-06MM;20,4;;
0477TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. POWERLIFT W.P. 380 BAR;Parker;477TC-8;380;;;;;13002-08MM;23;;
0477TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C.POWERLIFT W.P. 350 BAR;Parker;477TC-10;350;;;;;13002-10MM;26,8;;
0477TC-12;NO-SKIVE 19.1MM (3/4) DN20 POWERLIFT W.P. 350 BAR;Parker;477TC-12;350;;;;;13002-12MM;30,7;;
0477TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. POWERLIFT W.P. 280 BAR;Parker;477TC-16;280;;;;;13002-16MM;38,6;;
0487-04;NO-SKIVE 6.4MM (1/4) DN06 S.T. GLOBAL . SPIRAL W.P. 28.0 MPa;Parker;487-4;280;;;;;;;;
0487-08;NO-SKIVE 12.7MM (1/2) DN13. COMP. SPIRAL W.P. 28.0 MPa;Parker;487-08;280;;;;;;;;
0487-16;NO-SKIVE 25MM (1) DN25. COMP. SPIRAL W.P. 28.0 MPa;Parker;487-16;280;;;;;;;;
0487ST-04;NO-SKIVE 6.4MM (1/4) DN06 S.T. GLOBAL . SPIRAL W.P. 28.0 MPa;Parker;487ST-4;280;;;;;;;;
0487ST-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. GLOBALCORE W.P. 280 BAR;Parker;487ST-6;280;;;;;;;;
0487ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. GLOBAL CORE W.P. 280 BAR;Parker;487ST-8;280;;;;;;;;
0487ST-10;NO-SKIVE 15.9MM (5/8) DN16 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-10;280;;;;;;;;
0487ST-12;NO-SKIVE 19.1MM (3/4) DN19 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-12;280;;;;;;;;
0487ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-16;280;;;;;;;;
0487ST-20;NO-SKIVE 31.8 MM (11/4) DN31 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-20;280;;;;;;;;
0487ST-24;NO-SKIVE 38.1 MM (11/2) DN38 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-24;280;;;;;;;;
0487ST-32;NO-SKIVE 50.8 MM (2) DN51 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-32;280;;;;;;;;
0487TC-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-4;280;;;;;;;;
0487TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-6;280;;;;;;;;
0487TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-8;280;;;;;;;;
0487TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. GLOBALCORE W.P. 280 BAR;Parker;487TC-10;280;;;;;;;;
0487TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-12;280;;;;;;;;
0487TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-16;280;;;;;;;;
0487TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-20;280;;;;;;;;
0487TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-24;280;;;;;;;;
0487TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-32;280;;;;;;;;
0492-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 280 BAR;Parker;492-4;280;13002-04MM;15,1;;;13002-04;14,6;;
0492-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC W.P. 250 BAR 492-5;Parker;492-5;250;13002-05MM;16,9;;;13002-05;16,7;;
0492-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 225 BAR 492-6;Parker;492-6;225;13002-06MM;19,4;;;13002-06;18,5;;
0492-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 190 BAR 492-08;Parker;492-8-GT100;190;13002-08MM;22,1;;;13002-08;22,3;;
0492-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 150 BAR 492-10;Parker;492-10;150;13002-10MM;26;;;13002-10;24,9;;
0492-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 1SC W.P. 150 BAR 492-12;Parker;492-12;150;13002-12MM;29,8;;;13002-12;28,7;;
0492-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 1SC W.P. 110 BAR 492-16;Parker;492-16;110;13002-16MM;37,4;;;;;;
0492-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMPACT 1SC W.P. 75 BAR 492-20;Parker;492-20-WR;75;;;;;;;;
0492ST-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT S.T. 1SC W.P. 280 BAR 492S;Parker;492ST-4;280;13002-04MM;15,1;;;13002-04;14,6;;
0492ST-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT S.T. 1SC W.P. 250 BAR 492;Parker;492ST-5;250;13002-05MM;16,9;;;13002-05;16,7;;
0492ST-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT S.T. 1SC W.P. 225 BAR 492S;Parker;492ST-6;225;13002-06MM;19,4;;;13002-06;18,5;;
0492ST-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT S.T. 1SC W.P. 190 BAR 492;Parker;492ST-8;190;13002-08MM;22,1;;;13002-08;22,3;;
0492ST-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT S.T. 1SC W.P. 150 BAR 492;Parker;492ST-10;150;13002-10MM;26;;;13002-10;24,9;;
0492ST-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT S.T. 1SC W.P. 150 BAR 492;Parker;492ST-12;150;13002-12MM;29,8;;;13002-12;28,7;;
0492ST-16;NO-SKIVE 25.4MM (1) DN25 COMPACT S.T. 1SC W.P. 110 BAR 492ST;Parker;492ST-16;110;13002-16MM;37,4;;;;;;
0492ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMPACT S.T. 1SC W.P. 75 BAR;Parker;0492ST-20;75;;;;;;;;
0492TC-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMPACT 1SC W.P. 280 BAR;Parker;492TC-4;280;13002-04MM;15,1;;;13002-04;14,6;;
0492TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT 1SC W.P. 225 BAR;Parker;492TC-6;225;13002-06MM;19,4;;;13002-06;18,5;;
0492TC-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT T.C. 1SC W.P. 190 BAR;Parker;492TC-8;190;13002-08MM;22,1;;;13002-08;22,3;;
0492TC-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT T.C. 1SC W.P. 150 BAR;Parker;492TC-12;150;13002-12MM;29,8;;;13002-12;28,7;;
0492TC-16;NO-SKIVE 25.4MM (1) DN25 COMPACT T.C. 1SC W.P. 110 BAR;Parker;492TC-16;110;13002-16MM;37,4;;;;;;
0493-04;MTR SLANG 1 INLAGE PARKER 493 493-4-BLU;Parker;493-4-BLU;200;13002-04MM;15,9;;;;;;
0493-05;MTR SLANG 1 INLAGE PARKER 493 493-5-BLU-RL;Parker;493-5-BLU-RL;200;13002-05MM;17,8;;;;;;
0493-06;MTR SLANG 1 INLAGE PARKER 493 493-6-BLU-RL;Parker;493-6-BLU-RL;200;13002-06MM;20,4;;;;;;
0493-08;MTR SLANG 1 INLAGE PARKER 493 493-8-BLU;Parker;493-8-BLU;175;13002-08MM;23,4;;;;;;
0501-04;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-06;;16001-04;;;;;;;
0501-06;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-10;;16001-06;;;;;;;
0501-08;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-13;;16001-08;;;;;;;
0501-10;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);Interpump;TFS0006I10;;16001-10;25,6;;;;;;
0501-12;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-20;;16001-12;;;;;;;
0501-16;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);Interpump;TFS0006I16;;16001-16;37;;;;;;
0502-04;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 1/4;Interpump;TFE02TEI04;;16001-04;15;;;;;;
0502-06;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 3/8;Interpump;TFE02TEI06;;16001-06;18,8;;;;;;
0502-08;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 1/2;Interpump;TFD02TE-08;;16001-08;22,6;;;;;;
0502-10;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 5/8;Interpump;TFD02TE-10;;16001-10;26,5;;;;;;
0502-12;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 3/4;Interpump;TFD02TE-12;;16001-12;28,8;;;;;;
0502-16;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 1;Interpump;TFE02TEI16;;16001-16;37;;;;;;
