artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0347-08D;THERMOPLASTIC MEDIUM PRESSURE (1/2) DN12 W.P. 140 BAR TWIN;Hansaflex;NYZ713;140;17001-08;10;23,7;;;16001-08;10;;;;;;;;;;;;;;;;;;
0347-10;THERMOPLASTIC MEDIUM PRESSURE 15.9MM (5/8) DN16 R7 W.P. 100;Parker;0347-10;100;16001-10;10;;;;;;;;;;;;;;;;;;;;;;;
0371LT-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT W.P. 445 BAR LOW TEMP;Parker;371LT-6;445;;;;;;;;;;;70;25,4;27;;;;;;;;;;;;
0371LT-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT W.P. 415 BAR LOW TEMP 371;Parker;371LT-8;415;;;;;;;;;;;70;29,2;33;;;;;;;;;;;;
0371LT-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT W.P. 350 BAR LOW TEMP;Parker;371LT-10;350;;;;;;;;;;;70;32,25;35;;;;;;;;;;;;
0371LT-12;NO-SKIVE 19.1MM (3/4) DN19 COMPACT W.P. 350 BAR LOW TEMP;Parker;371LT-12;350;;;;;;;;;;;70;35,7;38;;;;;;;;;;;;
0371LT-16;NO-SKIVE 25.4MM (1) DN25 COMPACT W.P. 280 BAR LOW TEMP 371;Parker;371LT-16;280;;;;;;;;;;;70;44,35;46;;;;;;;;;;;;
0372-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT W.P. 445 BAR 372-6;Parker;372-6;445;23000-06MM;10;23,2;;26;;;;;;70;25,4;27;;;;;;;;;;;;
0372-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 4SP W.P. 415 BAR;Parker;372-8;415;23000-08MM;10;26,5;;28;;;;;;70;29,2;33;;;;;;;;;;;;
0372-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 4SP W.P. 350 BAR;Parker;372-10;350;23000-10MM;10;30,1;;31;;;;;;70;32,25;35;;;;;;;;;;;;
0372-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 4SP W.P. 350 BAR;Parker;372-12;350;23000-12MM;10;33,8;;33;;;;;;70;35,7;38;;;;;;;;;;;;
0372-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 4SP W.P. 280 BAR;Parker;372-16;280;23000-16MM;10;42,3;;48;;;;;;70;44,35;46;;;;;;;;;;;;
0372TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT W.P. 445 BAR;Parker;372TC-6;445;23000-06MM;10;23,2;;26;;;;;;70;25,4;27;;;;;;;;;;;;
0372TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMPACT W.P. 415 BAR;Parker;372TC-8;415;23000-08MM;10;26,5;;28;;;;;;70;29,2;33;;;;;;;;;;;;
0372TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMPACT W.P. 350 BAR;Parker;372TC-10;350;23000-10MM;10;30,1;;31;;;;;;70;32,25;35;;;;;;;;;;;;
0372TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMPACT W.P. 350 BAR;Parker;372TC-12;350;23000-12MM;10;33,8;;33;;;;;;70;35,7;38;;;;;;;;;;;;
0372TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMPACT W.P. 280 BAR;Parker;372TC-16;280;23000-16MM;10;42,3;;48;;;;;;70;44,35;46;;;;;;;;;;;;
0387-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387-4;210;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0387-06;NO-SKIVE 9.5MM (3/8) DN10 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-6;210;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0387-08;NO-SKIVE 12.7MM (1/2) DN12 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-8;210;;;;;;;;;;;48;23,6;24;;;43;24,25;33;;;;;;;
0387-10;NO-SKIVE 15.9 MM (5/8) DN16 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-10;210;;;;;;;;;;;48;26,9;25;;;43;27,2;40;;;;;;;
0387-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 21.0 MPa;Parker;0387-12;210;;;;;;;;;;;48;30,75;25;;;43;31,9;25;;;;;;;
0387-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 21.0 MPa;Parker;387-16;210;;;;;;;;;;;48;38,35;30;;;43;40,65;44;;;;;;;
0387-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMP. SPIRAL W.P. 21.0 MPa;Parker;0387-20;210;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0387ST-04;NO-SKIVE 6.4MM (1/4) DN06 S.T. COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-4;210;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0387ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-6;210;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0387ST-08;NO-SKIVE 12.0MM (1/2) DN12 S.T. COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-8;210;;;;;;;;;;;48;23,6;24;;;43;24,25;33;;;;;;;
0387ST-10;NO-SKIVE 16 MM (5/8) DN16 COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-10;210;;;;;;;;;;;48;26,9;25;;;43;27,2;40;;;;;;;
0387ST-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-12;210;;;;;;;;;;;48;30,75;25;;;43;31,9;25;;;;;;;
0387ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. CLOBALCORE W.P. 210 BAR;Parker;387ST-16;210;;;;;;;;;;;48;38,35;30;;;43;40,65;44;;;;;;;
0387ST-20;NO-SKIVE 31.8MM (11/4) DN31 S.T. CLOBALCORE W.P. 210 BAR;Parker;387ST-20;210;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0387ST-24;NO-SKIVE 38.1MM (11/2) DN38 COMP. SPIRAL W.P. 21.0 MPa;Parker;387ST-24;210;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0387ST-32;NO-SKIVE 50.8 MM (2) DN51 S.T. CLOBALCORE W.P. 210 BAR;Parker;387ST-32;210;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0387TC-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-4;210;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0387TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-6;210;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0387TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-8;210;;;;;;;;;;;48;23,6;24;;;43;24,25;33;;;;;;;
0387TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;0387tc-10;210;;;;;;;;;;;48;26,9;25;;;43;27,2;40;;;;;;;
0387TC-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-12;210;;;;;;;;;;;48;30,75;25;;;43;31,9;25;;;;;;;
0387TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-16;210;;;;;;;;;;;48;38,35;30;;;43;40,65;44;;;;;;;
0387TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-20;210;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0387TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-24;210;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0387TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 21.0 MPa;Parker;387TC-32;210;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0412-03;NO-SKIVE 4.6MM (3/16) DN05 PILOTHOSE 1 WIRE W.P. 120 BAR;Parker;412-3;120;;PA;;;;;;;;;49;12;24;;;56;12,1;16;;;;;;;
0412-04;NO-SKIVE 6.3MM (1/4) DN06 PILOTHOSE 1 WIRE W.P. 120 BAR 412;Parker;412-4;120;;;;;;;;;;;49;13,9;24;;;56;13,5;24;;;;;;;
0421-04;301SN NO-SKIVE 6.3MM (1/4) DN06 R2AT W.P. 400 BAR;Parker;301SN-4;400;13001-04MM;10;17,5;;;;;;;;48;17,65;22;;;;;;;;;;;;
0421-05;301SN NO-SKIVE 7.9MM (5/16) DN08 R2AT W.P. 350 BAR;Parker;301SN-5;350;13001-05MM;10;19,4;;;;;;;;48;19,3;24;;;;;;;;;;;;
0421-06;301SN NO-SKIVE 9.5MM (3/8) DN10 R2AT W.P. 330 BAR;Parker;301SN-6;330;13001-06MM;10;20,9;;;;;;;;48;21,6;22;;;;;;;;;;;;
0421-08;301SN NO-SKIVE 12.7MM (1/2) DN12 R2AT 2SN W.P. 275 BAR;Parker;301SN-8;275;13001-08MM;10;25,1;;;;;;;;48;24,65;24;;;;;;;;;;;;
0421-10;301SN NO-SKIVE 15.9MM (5/8) DN16 R2AT W.P. 250 BAR;Parker;301SN-10;250;13001-10MM;10;28,5;;;;;;;;48;27,95;25;;;;;;;;;;;;
0421-12;301SN NO-SKIVE 19.1MM (3/4) DN20 R2AT W.P. 215 BAR;Parker;301SN-12;215;13001-12MM;10;32,3;;;;;;;;48;31,75;25;;;;;;;;;;;;
0421-16;301SN NO-SKIVE 25.4MM (1) DN25 R2AT W.P. 165 BAR;Parker;301SN-16;165;13001-16MM;10;40,8;;;;;;;;48;39,3;30;;;;;;;;;;;;
0421-20;301SN NO-SKIVE 31.8MM (1-1/4) DN32 R2AT W.P. 125 BAR;Parker;301SN-20;125;13001-20MM;10;50,9;;;;;;;;48;51,3;46;;;;;;;;;;;;
0421-24;301SN NO-SKIVE 38.1MM (1-1/2) DN40 R2AT W.P. 90 BAR;Parker;301SN-24;90;13001-24MM;10;58;;;;;;;;48;59,4;37;;;;;;;;;;;;
0421-32;301SN NO-SKIVE 50.8MM (2) DN50 R2AT W.P. 80 BAR;Parker;301SN-32;80;13001-32MM;10;70,8;;;;;;;;48;70,7;47;;;;;;;;;;;;
0422-06;3SC HOSE 9.5MM (3/8) DN10 COMPACT W.P. 500 BAR;Interpump;THE003K-06;500;;;;;;;;;;;;;;;;;;;;;;;;;
0422-08;3SK HOSE 12.7MM (1/2) DN12 COMPACT W.P. 475 BAR;Interpump;THE003K-08;475;;;;;;;;;;;;;;;;;;;;;;;;;
0422-10;3SK HOSE 15.9MM (5/8) DN16 COMPACT W.P. 420 BAR;Interpump;THE003K-10;420;;;;;;;;;;;;;;;;;;;;;;;;;
0422-12;3SK HOSE 19.0MM (3/4) DN20 COMPACT W.P. 380 BAR;Interpump;THE003K-12;380;;;;;;;;;;;;;;;;;;;;;;;;;
0422-16;3SK HOSE 25.4MM (1) DN25 COMPACT W.P. 315 BAR;Interpump;THE003K-16;315;;;;;;;;;;;;;;;;;;;;;;;;;
0422-56;4SK HOSE (31/2) DN89 COMPACT W.P.80 BAR;Hydrasun;H10091089;80;;;;;;;;;;;;;;;;;;;;;;;;;
0422-64;4SK HOSE 102MM (4) DN102 COMPACT W.P. 35 BAR;Hydrasun;H10091102MWC9;35;;;;;;;;;;;;;;;;;;;;;;;;;
0424-04;NO-SKIVE LONGLIFE 2SC DN06 W.P. 430 BAR;Interpump;THE202K-04;430;13002-04MM;10;15,5;;;;;;;;;;;;;;;;;;;;;;
0424-05;NO-SKIVE LONGLIFE 2SC DN08 W.P. 400 BAR;Interpump;THE202K-05;400;13002-05MM;10;17,8;;;;;;;;;;;;;;;;;;;;;;
0424-06;NO-SKIVE LONGLIFE 2SC DN10 W.P. 350 BAR;Interpump;THE202K-06;350;13002-06MM;10;20,4;;;;;;;;;;;;;;;;;;;;;;
0424-08;NO-SKIVE LONGLIFE 2SC DN12 W.P. 310 BAR;Interpump;THE202K-08;310;13002-08MM;10;23;;;;;;;;;;;;;;;;;;;;;;
0424-10;NO-SKIVE LONGLIFE 2SC DN16 W.P. 280 BAR;Interpump;THE202K-10;280;13002-10MM;10;26,8;;;;;;;;;;;;;;;;;;;;;;
0424-12;NO-SKIVE LONGLIFE 2SC DN20 W.P. 240 BAR;Interpump;THE202K-12;240;13002-12MM;10;30,7;;;;;;;;;;;;;;;;;;;;;;
0424-16;NO-SKIVE LONGLIFE 2SC DN25 W.P. 185 BAR;Interpump;THE202K-16;185;13002-16MM;10;38,6;;;;;;;;;;;;;;;;;;;;;;
0424-20;NO-SKIVE LONGLIFE 2SC DN32 W.P. 160 BAR;Interpump;THE202K-20;160;13002-20MM;10;46,9;;;;;;;;;;;;;;;;;;;;;;
0424-24;NO-SKIVE LONGLIFE 2SC DN40 W.P. 150 BAR;Interpump;THE202K-24;150;13002-24MM;10;55;;;;;;;;;;;;;;;;;;;;;;
0424-32;NO-SKIVE LONGLIFE 2SC DN50 W.P. 100 BAR;Interpump;THE202K-32;100;13002-32MM;10;67,8;;;;;;;;;;;;;;;;;;;;;;
0424-40;NO-SKIVE LONGLIFE 2SC DN63 W.P. 80 BAR;Interpump;THE202K-40;80;13002-40MM;10;81,2;;;;;;;;;;;;;;;;;;;;;;
0424-48;NO-SKIVE LONGLIFE 2SC DN76 W.P. 65 BAR;Interpump;THE202K-48;65;13002-48MM;10;92,6;;;;;;;;;;;;;;;;;;;;;;
0425-03;NO-SKIVE 4.8MM (3/16) DN05 SAE100R2AT 2SN W.P. 415 BAR;Interpump;TFD0021-03;415;13001-03MM;10;15,9;;;;;;;;;;;;;;;;;;;;;;
0425-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R2AT 2SN W.P. 400 BAR;Interpump;TFD2022-04;400;13001-04MM;10;16,9;;;;;;;;;;;;;;;;;;;;;;
0425-05;NO-SKIVE 7.9MM (5/16) DN08 SAE100R2AT 2SN W.P. 350 BAR;Interpump;TFD2022-05;350;13001-05MM;10;18,8;;;;;;;;;;;;;;;;;;;;;;
0425-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R2AT 2SN W.P. 330 BAR;Interpump;TFD2022-06;330;13001-06MM;10;20,5;;;;;;;;;;;;;;;;;;;;;;
0425-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R2AT 2SN W.P. 275 BAR;Interpump;TFD2022-08;275;13001-08MM;10;24,4;;;;;;;;;;;;;;;;;;;;;;
0425-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R2AT 2SN W.P. 250 BAR;Interpump;TFD2022-10;250;13001-10MM;10;27,9;;;;;;;;;;;;;;;;;;;;;;
0425-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R2AT 2SN W.P. 215 BAR;Interpump;TFD2022-12;215;13001-12MM;10;32,1;;;;;;;;;;;;;;;;;;;;;;
0425-16;NO-SKIVE 25.4MM (1) DN25 SAE100R2AT 2SN W.P. 165 BAR;Interpump;TFD2022-16;165;13001-16MM;10;39,6;;;;;;;;;;;;;;;;;;;;;;
0425-20;NO-SKIVE 31.8MM (1-1/4) DN32 SAE100R2AT 2SN W.P. 125 BAR;Interpump;TFD0022-20;125;13001-20MM;10;48,6;;;;;;;;;;;;;;;;;;;;;;
0425-24;NO-SKIVE 38.1MM (1-1/2) DN40 SAE100R2AT 2SN W.P. 90 BAR;Interpump;TFD0022-24;90;13001-24MM;10;56,4;;;;;;;;;;;;;;;;;;;;;;
0425-32;NO-SKIVE 50.8MM (2) DN50 SAE100R2AT 2SN W.P. 80 BAR;Interpump;TFD0021-32;80;13001-32MM;10;69,5;;;;;;;;;;;;;;;;;;;;;;
0426-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R1AT W.P. 192 BAR BLUE 426-4;Parker;426-4-RL;192;13002-04MM;10;15,5;;;;;;;;43;16,65;21;;;;;;;;;;;;
0426-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R1AT W.P. 157 BAR BLUE 426-6;Parker;426-6-RL;157;13002-06MM;10;20,4;;;;;;;;43;21,20;29;;;;;;;;;;;;
0426-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R1AT W.P. 140 BAR BLUE 426-;Parker;426-8-RL;140;13002-08MM;10;23,4;;;;;;;;48;23,6;24;;;;;;;;;;;;
0426-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R1AT W.P. 105 BAR BLUE 426-;Parker;426-10-RL;105;13002-10MM;10;26,8;;;;;;;;48;26,9;25;;;43;26,9;25;;;;;;;
0426-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R1AT W.P. 87 BAR BLUE 426-1;Parker;426-12-RL;87;13002-12MM;10;31;;;;;;;;48;30,75;25;;;43;30,75;25;;;;;;;
0426-16;NO-SKIVE 25.4MM (1) DN25 SAE100R1AT W.P. 70 BAR BLUE 426-16-;Parker;426-16;70;13002-16MM;10;38,8;;;;;;;;48;38,35;30;;;43;38,35;30;;;;;;;
0426-20;NO-SKIVE 31.8MM (1-1/4) DN32 SAE100R1AT W.P. 43 BAR BLUE 426;Parker;426-20;43;13002-20MM;10;48;;;;;;;;48;50,3;48;;;43;50,3;48;;;;;;;
0426-24;NO-SKIVE 38.1MM (1-1/2) DN40 SAE100R1AT W.P. 35 BAR BLUE 426;Parker;426-24;35;13002-24MM;10;55,2;;;;;;;;48;58,4;37;;;43;58,4;37;;;;;;;
0426-32;NO-SKIVE 50.8MM (2) DN50 SAE100R1AT W.P. 26 BAR BLUE 426-32;Parker;426-32;26;13002-32MM;10;68,4;;;;;;;;48;69,7;46;;;43;69,7;46;;;;;;;
0427-04;MTR SLANG JACKMASTER;Polimer Kaucuk;H320006073;;13001-04MM;;;;;;;;;;;;;;;;;;;;;;;;
0427-04M;MTR SLANG JACKMASTER MANULI;Manuli;0427-04;;M03400-04;;;;;;;;;;;;;;;;;;;;;;;;
0427-06;MTR SLANG JACKMASTER;Manuli;0427-06;;M03400-06;;;;;;;;;;;;;;;;;;;;;;;;
0428-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R2A 2SN W.P. 400 BAR;Interpump;TFD0022-04;400;0022-04MM;;16,9;;;;;;;;;;;;;;;;;;;;;;
0428-05;NO-SKIVE 7.9MM (5/16) DN08 SAE100R2A 2SN W.P. 350 BAR;Interpump;TFD0022-05;350;0022-05MM;;18,8;;;;;;;;;;;;;;;;;;;;;;
0428-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R2A 2SN W.P. 330 BAR;Interpump;TFD0022-06;330;0022-06MM;;20,5;;;;;;;;;;;;;;;;;;;;;;
0428-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R2A 2SN W.P. 275 BAR;Interpump;TFD0022-08;275;0022-08MM;;24,4;;;;;;;;;;;;;;;;;;;;;;
0428-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R2A 2SN W.P. 250 BAR;Interpump;TFD0022-10;250;0022-10MM;;27,9;;;;;;;;;;;;;;;;;;;;;;
0428-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R2A 2SN W.P. 215 BAR;Interpump;TFD0022-12;215;0022-12MM;;32,1;;;;;;;;;;;;;;;;;;;;;;
0429-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 2SC W.P. 400 BAR;Interpump;TFE202K-04;400;13002-04MM;;15,5;;;;;;;;;;;;;;;;;;;;;;
0429-05;NO-SKIVE 8.0MM (5/16) DN08 COMPACT 2SC W.P. 350 BAR;Interpump;TFE202K-05;350;13002-05MM;;17,8;;;;;;;;;;;;;;;;;;;;;;
0429-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 330 BAR;Interpump;TFE202K-06;330;13002-06MM;;20,4;;;;;;;;;;;;;;;;;;;;;;
0429-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 275 BAR;Interpump;TFE202K-08;275;13002-08MM;;23;;;;;;;;;;;;;;;;;;;;;;
0429-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 2SC.W.P.250 BAR;Interpump;TFE202K-10;250;13002-10MM;;26,8;;;;;;;;;;;;;;;;;;;;;;
0429-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 2SC.W.P.215 BAR;Interpump;TFE202K-12;215;13002-12MM;;30,7;;;;;;;;;;;;;;;;;;;;;;
0429-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 2SC W.P. 165 BAR;Interpump;TFE202K-16;165;13002-16MM;;38,6;;;;;;;;;;;;;;;;;;;;;;
0436-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R16 W.P. 275 BAR BLUE 436-6-;Parker;436-6-BLU-RL;275;;;;;;13002-06MM;10;20,4;;;48;20,6;22;;;;;;;;;;;;
0436-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R16 W.P. 240 BAR BLUE 436-8;Parker;436-8-BLU-RL;240;;;;;;13002-08MM;10;23;;;48;23,6;24;;;;;;;;;;;;
0436-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R16 W.P. 190 BAR BLUE;Parker;436-10-BLU-RL;190;;;;;;13002-10MM;10;26,8;;;48;26,9;25;;;;;;;;;;;;
0436-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R16 W.P. 155 BAR BLUE 436-1;Parker;436-12-BLU-RL;155;;;;;;13002-12MM;10;30,7;;;48;30,75;25;;;;;;;;;;;;
0436-16;NO-SKIVE 25.4MM (1) DN25 SAE100R16 W.P. 138 BAR BLUE 436-16-;Parker;436-16-BLU-RL;138;;;;;;13002-16MM;10;38,6;;;48;38,35;30;;;;;;;;;;;;
0461LT-04;NO-SKIVE 6.3MM (1/4) DN06 L.T. COMPACT 2SC W.P. 425 BAR;Parker;461LT-4;425;;;;;;;;;;;46;15,6;23;;;46;15,6;23;;;;;;;
0461LT-05;NO-SKIVE 7.9MM (5/16) DN08 L.T. COMPACT 2SC W.P. 400 BAR;Parker;461LT-5;400;;;;;;;;;;;46;17,4;23;;;46;17,4;23;;;;;;;
0461LT-06;NO-SKIVE 9.5MM (3/8) DN10 L.T. COMPACT 2SC W.P. 350 BAR;Parker;461LT-6;350;;;;;;;;;;;46;20,6;22;;;46;20,6;22;;;;;;;
0461LT-08;NO-SKIVE 12.7MM (1/2) DN12 L.T. COMPACT 2SC W.P. 310 BAR;Parker;461LT-8;310;;;;;;;;;;;46;23,6;24;;;46;23,6;24;;;;;;;
0461LT-10;NO-SKIVE 15.9MM (5/8) DN16 L.T. COMPACT 2SC W.P. 280 BAR;Parker;461LT-10;280;;;;;;;;;;;46;26,9;25;;;46;26,9;25;;;;;;;
0461LT-12;NO-SKIVE 19.1MM (3/4) DN20 L.T. COMPACT 2SC W.P. 280 BAR;Parker;461LT-12;280;;;;;;;;;;;46;30,75;25;;;46;30,75;38;;;;;;;
0461LT-16;NO-SKIVE 25.4MM (1) DN25 L.T. COMPACT 2SC W.P. 210 BAR;Parker;461LT-16;210;;;;;;;;;;;46;38,35;29;;;46;38,35;29;;;;;;;
0462-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 2SC W.P. 425 BAR 462-4;Parker;462-4;425;13001-04MM;10;16,7;;;13002-04MM;10;15,5;;;48;16,65;22;;;43;16,65;21;;;46;15,6;23;;
0462-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 2SC W.P. 400 BAR 462-5;Parker;462-5;400;13001-05MM;10;18,7;;;13002-05MM;10;17,8;;;48;18,3;24;;;46;17,4;23;;;;;;;
0462-05-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 2SC W.P. 400 BAR TWIN 462;Parker;462-5-5;400;;;;;;;;;;;48;18,3;24;;;46;17,4;23;;;;;;;
0462-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 350 BAR 462-6;Parker;462-6;350;13001-06MM;10;20,1;;;13002-06MM;10;20,4;;;48;20,6;22;;;43;21,2;29;;;46;20,6;22;;
0462-06-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 350 BAR TWIN 461-;Parker;462-6-6;350;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;46;20,6;22;;
0462-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 310 BAR 462-8;Parker;462-8;310;13001-08MM;10;24,3;;;13002-08MM;10;23;;;48;23,6;24;;;43;24,25;33;;;46;23,6;24;;
0462-08-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 310 BAR TWIN 461;Parker;462-8-8;310;;;;;;;;;;;48;23,6;24;;;43;24,25;33;;;46;23,6;24;;
0462-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 2SC W.P. 280 BAR 462-10;Parker;462-10;280;13001-10MM;10;27,7;;;13002-10MM;10;26,8;;;48;26,9;25;;;43;27,2;40;;;46;26,9;25;;
0462-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 2SC W.P. 280 BAR 462-12;Parker;462-12;280;13001-12MM;10;31,4;;;13002-12MM;10;30,7;;;48;30,75;25;;;43;31,9;38;;;46;30,75;25;;
0462-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 2SC W.P. 210 BAR 462-16;Parker;462-16;210;13001-16MM;10;39,6;;;13002-16MM;10;38,6;;;48;38,35;30;;;43;40,65;44;;;46;38,35;29;;
0462-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMPACT 2SC W.P. 172 BAR 462-20;Parker;462-20;172;13001-20MM;10;47,2;;;13002-20MM;10;46,9;;;48;50,3;48;;;43;50,3;48;;;;;;;
0462PU-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 2SC W.P. 425 BAR;Parker;462PU-4;425;13001-04MM;10;16,7;;;13002-04MM;10;15,5;;;48;16,65;22;;;;;;;;;;;;
0462PU-04-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 2SC W.P. 425 BAR TWIN;Parker;462PU-4-4;425;;;;;;;;;;;48;16,65;22;;;;;;;;;;;;
0462PU-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 2SC W.P. 400 BAR;Parker;462PU-5;400;13001-05MM;10;18,7;;;13002-05MM;10;17,8;;;48;18,3;24;;;;;;;;;;;;
0462PU-05-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 2SC W.P. 400 BAR TWIN;Parker;462PU-5-5;400;;;;;;;;;;;48;18,3;24;;;;;;;;;;;;
