artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0311-12;421SN NO-SKIVE 19.1MM (3/4) DN20 R1AT 1SN W.P. 105 BAR;Parker;421SN-12;105;13002-12MM;10;31;;;;;;;;48;30,75;25;;;;;;;;;;;;
0311-16;421SN NO-SKIVE 25.4MM (1) DN25 R1AT 1SN W.P. 88 BAR;Parker;421SN-16;88;13002-16MM;10;38,8;;;;;;;;48;38,35;30;;;;;;;;;;;;
0311-20;421SN NO-SKIVE 31.8MM (1-1/4) DN32 R1AT 1SN W.P. 63 BAR;Parker;421SN-20;63;13002-20MM;10;48;;;;;;;;48;50,3;46;;;;;;;;;;;;
0311-24;421SN NO-SKIVE 38.1MM (1-1/2) DN40 R1AT 1SN W.P. 50 BAR;Parker;421SN-24;50;13002-24MM;10;55,2;;;;;;;;48;58,4;37;;;;;;;;;;;;
0311-32;421SN NO-SKIVE 50.8MM (2) DN50 R1AT 1SN W.P. 40 BAR;Parker;421SN-32;40;13002-32MM;10;68,4;;;;;;;;48;69,7;47;;;;;;;;;;;;
0312-04;NO-SKIVE 6.3MM (1/4) DN06 SAE100R1AT 1SN W.P. 225 BAR;Interpump;TFD0011-04;225;13002-04MM;10;15,5;;;;;;;;;;;;;;;;;;;;;;
0312-05;NO-SKIVE 7.9MM (5/16) DN08 SAE100R1AT 1SN W.P. 215 BAR;Interpump;TFD0011-05;215;13002-05MM;10;17,8;;;;;;;;;;;;;;;;;;;;;;
0312-06;NO-SKIVE 9.5MM (3/8) DN10 SAE100R1AT 1SN W.P. 180 BAR;Interpump;TFD2012-06;180;13002-06MM;10;20,4;;;;;;;;;;;;;;;;;;;;;;
0312-08;NO-SKIVE 12.7MM (1/2) DN12 SAE100R1AT 1SN W.P. 160 BAR;Interpump;TFD0012-08;160;13002-08MM;10;23,4;;;;;;;;;;;;;;;;;;;;;;
0312-10;NO-SKIVE 15.9MM (5/8) DN16 SAE100R1AT 1SN W.P. 130 BAR;Interpump;TFD0011-10;130;13002-10MM;10;26,8;;;;;;;;;;;;;;;;;;;;;;
0312-12;NO-SKIVE 19.1MM (3/4) DN20 SAE100R1AT 1SN W.P. 105 BAR;Interpump;TFD0012-12;105;13002-12MM;10;31;;;;;;;;;;;;;;;;;;;;;;
0312-16;NO-SKIVE 25.4MM (1) DN25 SAE100R1AT 1SN W.P. 88 BAR;Interpump;TFD0011-16;88;13002-16MM;10;38,8;;;;;;;;;;;;;;;;;;;;;;
0312-20;NO-SKIVE 31.8MM (1-1/4) DN32 SAE100R1AT 1SN W.P. 63 BAR;Interpump;TFD0012-20;63;13002-20MM;10;48;;;;;;;;;;;;;;;;;;;;;;
0312-24;NO-SKIVE 38.1MM (1-1/2) DN40 SAE100R1AT 1SN W.P. 50 BAR;Interpump;TFD0011-24;50;13002-24MM;10;55,2;;;;;;;;;;;;;;;;;;;;;;
0312-32;NO-SKIVE 50.8MM (2) DN50 SAE100R1AT 1SN W.P. 40 BAR;Interpump;TFD0012-32;40;13002-32MM;10;68,4;;;;;;;;;;;;;;;;;;;;;;
0314-04;TRELL-JETT 1 WIRE TYPE 581 DN06 W.P. 400 BAR;Trelleborg;TJ581+100DN06;400;13002-04MM;10;15,3;;;13002-04;10;14,6;;;;;;;;;;;;;;;;;
